id,name,description,address,latitude,longitude
1,NAIA,NAIA,,121.004751,14.5047
2,Port Area,Port Area,,121.967866,14.58841
3,Science Garden,Science Garden,,121.044282,14.645072
4,Tanay,Tanay,,121.36927,14.581167
