,station,month,hour,min,altm,tmp,dew,rh,dir,spd,date
0,,1,0,0,1013.0,26.0,19.0,65.0,0.0,0.0,1609459200000000000
1,,31,23,0,1013.0,25.0,20.0,74.0,,1.0,1609542000000000000
2,,31,22,0,1012.0,24.0,19.0,74.0,330.0,2.0,1609538400000000000
3,,31,21,0,1012.0,25.0,19.0,69.0,10.0,2.0,1609534800000000000
4,,31,20,0,1012.0,24.0,20.0,78.0,300.0,2.0,1609531200000000000
5,,31,19,0,1012.0,24.0,20.0,78.0,0.0,0.0,1609527600000000000
6,,31,18,0,1012.0,25.0,20.0,74.0,,1.0,1609524000000000000
7,,31,17,0,1013.0,26.0,20.0,70.0,320.0,2.0,1609520400000000000
8,,31,16,0,1013.0,26.0,20.0,70.0,160.0,2.0,1609516800000000000
9,,31,15,0,1013.0,26.0,19.0,65.0,,1.0,1609513200000000000
10,,31,14,0,1013.0,26.0,19.0,65.0,290.0,3.0,1609509600000000000
11,,31,13,0,1013.0,27.0,19.0,62.0,,2.0,1609506000000000000
12,,31,12,0,1013.0,26.0,20.0,70.0,,3.0,1609502400000000000
13,,31,11,0,1012.0,26.0,19.0,65.0,70.0,4.0,1609498800000000000
14,,31,10,0,1011.0,27.0,10.0,34.0,100.0,3.0,1609495200000000000
15,,31,9,0,1010.0,29.0,19.0,55.0,90.0,5.0,1609491600000000000
16,,31,8,0,1009.0,28.0,19.0,58.0,100.0,4.0,1609488000000000000
17,,31,7,0,1009.0,29.0,19.0,55.0,90.0,4.0,1609484400000000000
18,,31,6,0,1010.0,29.0,19.0,55.0,90.0,5.0,1609480800000000000
19,,31,5,0,1010.0,29.0,19.0,55.0,90.0,6.0,1609477200000000000
20,,31,4,0,1011.0,29.0,20.0,58.0,,4.0,1609473600000000000
21,,31,3,0,1012.0,29.0,20.0,58.0,40.0,4.0,1609470000000000000
22,,31,2,0,1012.0,29.0,21.0,62.0,,1.0,1609466400000000000
23,,31,1,0,1012.0,28.0,20.0,62.0,,3.0,1609462800000000000
24,,31,0,0,1012.0,27.0,20.0,66.0,10.0,3.0,1609459200000000000
25,,2,0,0,1013.0,26.0,20.0,70.0,20.0,4.0,1609545600000000000
26,,1,23,0,1013.0,24.0,20.0,78.0,,1.0,1609628400000000000
27,,1,22,0,1012.0,23.0,20.0,83.0,0.0,0.0,1609624800000000000
28,,1,21,0,1012.0,24.0,20.0,78.0,60.0,1.0,1609621200000000000
29,,1,20,0,1011.0,25.0,20.0,74.0,20.0,2.0,1609617600000000000
30,,1,19,0,1012.0,25.0,20.0,74.0,20.0,2.0,1609614000000000000
31,,1,18,0,1012.0,25.0,20.0,74.0,20.0,2.0,1609610400000000000
32,,1,17,0,1013.0,25.0,20.0,74.0,360.0,2.0,1609606800000000000
33,,1,16,0,1013.0,26.0,20.0,70.0,250.0,2.0,1609603200000000000
34,,1,15,0,1013.0,25.0,21.0,78.0,260.0,2.0,1609599600000000000
35,,1,14,0,1013.0,26.0,20.0,70.0,330.0,2.0,1609596000000000000
36,,1,13,0,1014.0,26.0,20.0,70.0,310.0,2.0,1609592400000000000
37,,1,12,0,1013.0,26.0,21.0,74.0,220.0,2.0,1609588800000000000
38,,1,11,0,1012.0,26.0,21.0,74.0,,1.0,1609585200000000000
39,,1,10,0,1011.0,26.0,21.0,74.0,270.0,2.0,1609581600000000000
40,,1,9,0,1011.0,27.0,20.0,66.0,130.0,2.0,1609578000000000000
41,,1,8,0,1010.0,28.0,20.0,62.0,100.0,3.0,1609574400000000000
42,,1,7,0,1010.0,28.0,20.0,62.0,100.0,4.0,1609570800000000000
43,,1,6,0,1011.0,28.0,20.0,62.0,100.0,4.0,1609567200000000000
44,,1,5,0,1011.0,28.0,20.0,62.0,110.0,4.0,1609563600000000000
45,,1,4,0,1012.0,28.0,21.0,66.0,,,1609560000000000000
46,,1,3,0,1013.0,27.0,20.0,66.0,30.0,3.0,1609556400000000000
47,,1,2,0,1014.0,27.0,20.0,66.0,330.0,2.0,1609552800000000000
48,,1,1,0,1014.0,26.0,20.0,70.0,280.0,3.0,1609549200000000000
49,,1,0,0,1013.0,26.0,19.0,65.0,0.0,0.0,1609545600000000000
50,,3,0,0,1013.0,27.0,22.0,74.0,50.0,2.0,1609632000000000000
51,,2,23,0,1012.0,26.0,22.0,79.0,40.0,3.0,1609714800000000000
