,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,69,,,,,,,,,
1,936.0,614,22.2,21.9,98,18.04,270,2,301.0,354.2,304.2
2,925.0,752,21.6,20.4,93,16.61,240,10,301.4,350.5,304.4
3,900.0,990,20.4,19.4,94,15.98,235,27,302.5,349.9,305.4
4,866.0,1324,18.6,17.9,96,15.14,245,29,304.0,349.2,306.8
5,850.0,1484,17.4,16.4,94,14.00,250,29,304.4,346.3,306.9
6,809.0,1906,15.0,13.6,91,12.25,254,31,306.1,343.2,308.4
7,792.0,2085,14.3,12.8,91,11.86,255,31,307.3,343.3,309.5
8,700.0,3126,10.4,8.1,86,9.77,260,31,314.0,344.6,315.8
9,660.0,3616,8.8,4.9,77,8.30,264,30,317.5,344.0,319.1
10,619.0,4145,4.8,3.0,88,7.73,268,28,318.8,343.7,320.3
11,603.0,4359,4.2,0.1,75,6.43,270,27,320.5,341.5,321.7
12,560.0,4957,0.3,-1.1,91,6.36,275,25,322.7,343.6,323.9
13,552.0,5074,-0.5,-1.3,94,6.34,271,26,323.1,344.0,324.3
14,518.0,5580,-3.7,-5.9,85,4.78,254,28,325.2,341.2,326.1
15,500.0,5860,-4.5,-6.5,86,4.73,245,29,327.5,343.6,328.4
16,492.0,5987,-5.0,-7.1,85,4.59,240,29,328.4,344.0,329.3
17,473.0,6296,-6.3,-8.6,84,4.25,266,22,330.5,345.2,331.3
18,470.0,6345,-6.6,-8.9,84,4.18,270,21,330.8,345.2,331.6
19,452.0,6647,-8.2,-10.6,83,3.81,300,25,332.4,345.7,333.1
20,413.0,7343,-12.1,-14.4,83,3.05,300,37,336.1,347.0,336.7
21,400.0,7590,-13.5,-15.8,83,2.81,300,37,337.4,347.5,337.9
22,356.0,8458,-18.7,-22.2,74,1.83,295,25,341.8,348.6,342.1
23,324.0,9160,-22.9,-27.3,67,1.26,320,16,345.3,350.2,345.5
24,320.0,9252,-23.5,-28.0,66,1.20,321,16,345.7,350.4,346.0
25,300.0,9720,-27.1,-32.1,62,0.87,325,21,347.1,350.5,347.2
26,256.0,10845,-35.7,-41.7,54,0.39,338,26,350.5,352.1,350.6
27,250.0,11010,-37.3,-43.3,54,0.33,340,27,350.5,351.9,350.5
28,223.0,11778,-44.2,-51.2,45,0.15,350,23,351.6,352.3,351.6
29,211.0,12150,-47.5,-55.0,42,0.10,5,23,352.0,352.5,352.0
30,200.0,12510,-50.7,-58.7,38,0.07,5,19,352.3,352.6,352.3
31,185.0,13011,-55.5,-64.5,32,0.04,23,19,352.5,352.6,352.5
32,183.0,13079,-56.1,-65.0,32,0.03,25,19,352.6,352.8,352.6
33,150.0,14310,-67.1,-74.1,37,0.01,60,31,354.3,354.4,354.3
34,119.0,15666,-78.9,-83.9,44,0.00,84,54,356.9,356.9,356.9
35,118.0,15714,-78.3,-83.7,42,0.00,85,54,358.8,358.8,358.8
36,111.0,16066,-74.1,-82.1,28,0.00,98,31,373.0,373.0,373.0
37,110.0,16119,-74.3,-82.1,29,0.00,100,27,373.6,373.6,373.6
38,104.0,16443,-75.8,-82.4,35,0.00,95,10,376.9,376.9,376.9
39,101.0,16613,-76.5,-82.5,38,0.00,80,5,378.6,378.6,378.6
40,100.0,16670,-77.1,-83.1,38,0.00,75,4,378.5,378.5,378.5
41,98.0,16785,-77.9,-83.3,42,0.00,30,2,379.1,379.1,379.1
42,93.5,17053,-79.9,-83.8,53,0.00,4,8,380.3,380.4,380.3
43,92.0,17144,-80.1,-83.8,54,0.00,355,10,381.8,381.8,381.8
44,91.7,17163,-80.1,-83.8,54,0.00,359,11,382.1,382.1,382.1
45,88.0,17396,-79.3,-83.6,49,0.00,55,21,388.2,388.2,388.2
46,87.0,17462,-78.1,-83.0,45,0.00,70,23,391.9,391.9,391.9
47,84.0,17663,-74.3,-81.3,33,0.01,73,22,403.5,403.6,403.5
48,82.0,17804,-74.1,-81.5,31,0.01,75,21,406.6,406.7,406.6
49,78.0,18096,-73.8,-82.0,28,0.01,60,29,413.1,413.2,413.2
50,74.2,18387,-73.5,-82.5,24,0.01,74,36,419.8,419.8,419.8
51,70.0,18730,-70.7,-81.7,18,0.01,90,45,432.8,432.9,432.8
52,69.1,18807,-69.3,-81.3,16,0.01,90,45,437.4,437.5,437.4
53,69.0,18816,-69.3,-81.3,16,0.01,90,45,437.6,437.6,437.6
54,64.0,19265,-69.3,-82.3,14,0.01,89,42,447.1,447.1,447.1
55,61.3,19525,-65.1,-82.1,8,0.01,88,40,462.0,462.0,462.0
56,52.3,20499,-61.9,-83.9,4,0.01,86,35,490.8,490.9,490.8
57,50.0,20780,-58.3,-82.3,3,0.01,85,33,505.7,505.7,505.7
58,49.5,20843,-57.9,-81.9,3,0.01,86,33,508.1,508.1,508.1
59,46.0,21303,-58.9,-82.5,3,0.01,90,31,516.3,516.4,516.3
60,43.0,21725,-59.9,-83.0,3,0.01,80,31,524.1,524.1,524.1
61,41.7,21918,-60.3,-83.3,3,0.01,,,527.6,527.7,527.6
