,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   101,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  939.0 ,   614,   23.0,   21.5,     91,  17.53,      0,      2,  301.5,  353.4,  304.7
2,  925.0 ,   785,   21.4,   19.5,     89,  15.68,      0,      2,  301.2,  347.5,  304.0
3,  905.0 ,   975,   20.0,   19.3,     96,  15.83,      0,      1,  301.6,  348.5,  304.5
4,  899.0 ,  1032,   18.6,   16.4,     87,  13.22,      0,      0,  300.8,  339.8,  303.1
5,  897.0 ,  1052,   19.0,   16.7,     86,  13.48,      0,      0,  301.4,  341.3,  303.8
6,  893.0 ,  1090,   19.8,   17.2,     85,  14.02,    350,      0,  302.6,  344.3,  305.1
7,  858.0 ,  1434,   17.7,   14.9,     84,  12.60,    260,      4,  303.9,  341.6,  306.1
8,  850.0 ,  1515,   17.2,   14.4,     84,  12.28,    260,      6,  304.1,  341.0,  306.4
9,  819.0 ,  1832,   15.3,   12.2,     82,  11.01,    255,     10,  305.3,  338.6,  307.4
10,  815.0 ,  1874,   15.0,   11.9,     82,  10.85,    256,     10,  305.5,  338.3,  307.5
11,  800.0 ,  2031,   15.2,    5.2,     51,   6.98,    259,     10,  307.3,  328.9,  308.6
12,  787.0 ,  2170,   14.4,    2.4,     44,   5.81,    263,     10,  307.9,  326.1,  309.0
13,  758.0 ,  2486,   12.2,    6.2,     67,   7.90,    270,     11,  308.9,  333.3,  310.3
14,  755.0 ,  2519,   12.4,    1.4,     47,   5.64,    271,     11,  309.4,  327.2,  310.5
15,  748.0 ,  2597,   12.2,    3.2,     54,   6.48,    272,     11,  310.0,  330.3,  311.2
16,  734.0 ,  2756,   13.0,  -16.0,     12,   1.50,    276,     11,  312.6,  317.7,  312.9
17,  700.0 ,  3153,   12.2,  -32.8,      3,   0.35,    285,     12,  316.0,  317.3,  316.0
18,  667.0 ,  3555,   10.8,  -35.2,      2,   0.29,    302,     13,  318.8,  319.9,  318.8
19,  653.0 ,  3730,    9.5,  -33.5,      3,   0.35,    310,     14,  319.3,  320.6,  319.4
20,  630.0 ,  4026,    7.4,  -30.6,      5,   0.48,    315,     14,  320.1,  321.9,  320.2
21,  578.0 ,  4730,    5.0,  -44.0,      1,   0.13,    328,     16,  325.3,  325.9,  325.3
