,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    74,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  937.0 ,   614,   22.8,   22.0,     95,  18.13,    280,      6,  301.5,  355.1,  304.8
2,  931.0 ,   687,   22.2,   22.2,    100,  18.48,    273,      9,  301.4,  356.1,  304.8
3,  925.0 ,   759,   21.8,   21.9,    101,  18.30,    265,     12,  301.6,  355.8,  304.9
4,  901.0 ,   986,   20.8,   20.9,    100,  17.58,    260,     23,  302.8,  355.1,  306.0
5,  873.0 ,  1259,   19.6,   19.6,    100,  16.74,    265,     29,  304.3,  354.4,  307.4
6,  850.0 ,  1489,   18.6,   18.5,     99,  16.04,    270,     33,  305.6,  353.9,  308.6
7,  835.0 ,  1642,   16.4,   16.3,     99,  14.16,    268,     34,  304.9,  347.4,  307.4
8,  815.0 ,  1846,   15.4,   15.1,     98,  13.42,    265,     35,  305.9,  346.4,  308.4
9,  724.0 ,  2846,   10.6,    9.3,     91,  10.23,    275,     27,  311.2,  342.9,  313.1
10,  713.0 ,  2975,   10.0,    8.5,     90,   9.86,    270,     26,  311.9,  342.6,  313.7
11,  700.0 ,  3128,    8.6,    5.6,     81,   8.21,    265,     25,  312.0,  337.7,  313.5
12,  687.0 ,  3283,    6.8,    0.8,     66,   5.94,    259,     23,  311.6,  330.4,  312.8
13,  677.0 ,  3403,    7.2,    3.6,     78,   7.37,    255,     22,  313.4,  336.7,  314.8
14,  661.0 ,  3599,    4.8,   -3.2,     56,   4.59,    248,     20,  312.9,  327.6,  313.7
15,  642.0 ,  3837,    4.8,   -6.2,     45,   3.77,    239,     17,  315.5,  327.8,  316.2
16,  633.0 ,  3953,    8.2,   -4.8,     39,   4.25,    235,     16,  320.6,  334.8,  321.4
17,  581.0 ,  4647,    3.2,   -8.8,     41,   3.39,    210,      8,  322.7,  334.2,  323.4
18,  561.0 ,  4930,    1.1,  -10.5,     42,   3.08,    215,      8,  323.5,  334.1,  324.1
19,  531.0 ,  5375,   -2.1,  -13.1,     43,   2.64,    264,      8,  324.8,  333.9,  325.3
20,  519.0 ,  5556,   -3.5,  -11.5,     54,   3.06,    285,      8,  325.2,  335.7,  325.8
21,  500.0 ,  5850,   -5.9,   -9.0,     79,   3.89,    290,     10,  325.8,  339.0,  326.6
