,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,122,,,,,,,,,
1,941.0,614,21.8,19.5,87,15.41,320,4,300.1,345.4,302.9
2,929.0,756,20.0,17.8,87,14.00,335,5,299.4,340.4,301.9
3,925.0,803,19.8,17.2,85,13.53,340,6,299.6,339.3,302.0
4,902.0,1020,19.1,16.0,82,12.82,355,8,301.0,338.9,303.3
5,867.0,1361,18.0,14.1,78,11.77,355,10,303.2,338.4,305.4
6,850.0,1531,17.4,13.1,76,11.27,20,10,304.4,338.2,306.4
7,833.0,1704,17.2,12.6,74,11.12,38,11,305.9,339.6,308.0
8,831.0,1724,17.1,12.4,74,11.00,40,12,306.0,339.3,308.0
9,797.0,2079,14.5,8.8,68,8.97,65,12,306.9,334.4,308.6
10,790.0,2154,14.0,8.0,67,8.59,64,12,307.2,333.5,308.8
11,766.0,2415,14.7,-5.4,25,3.36,60,12,310.6,321.5,311.2
12,761.0,2470,14.8,-8.2,20,2.72,66,11,311.3,320.3,311.8
13,744.0,2661,14.0,-16.0,11,1.48,89,10,312.5,317.5,312.8
14,716.0,2982,11.6,-20.4,9,1.06,126,7,313.3,317.0,313.5
15,706.0,3099,10.6,-13.9,16,1.85,140,6,313.4,319.7,313.8
16,700.0,3170,10.0,-10.0,23,2.57,135,6,313.5,322.1,314.0
17,680.0,3410,7.8,-5.2,39,3.84,113,7,313.7,326.2,314.4
18,671.0,3520,8.4,-14.6,18,1.85,104,7,315.6,321.9,315.9
19,660.0,3656,7.6,-9.4,29,2.86,91,7,316.1,325.7,316.7
20,650.0,3782,7.6,-12.5,23,2.27,80,8,317.5,325.2,318.0
21,631.0,4027,7.6,-18.4,14,1.43,67,7,320.2,325.3,320.5
22,621.0,4156,6.7,-19.9,13,1.28,60,6,320.7,325.2,320.9
23,596.0,4488,4.5,-23.6,11,0.96,65,4,321.9,325.4,322.1
24,570.0,4848,2.1,-27.7,9,0.69,20,6,323.2,325.8,323.3
25,546.0,5196,-0.3,-31.6,7,0.50,20,4,324.4,326.3,324.5
26,524.0,5528,-2.5,-35.4,6,0.36,120,2,325.6,326.9,325.6
27,522.0,5559,-2.7,-35.7,6,0.35,124,2,325.6,327.0,325.7
28,502.0,5868,-3.6,-50.2,1,0.08,170,6,328.2,328.5,328.2
29,500.0,5900,-3.7,-51.7,1,0.07,170,8,328.5,328.7,328.5
30,492.0,6027,-4.5,-52.5,1,0.06,169,10,329.0,329.3,329.0
31,459.0,6561,-8.1,-51.4,2,0.07,165,21,331.1,331.5,331.2
32,400.0,7620,-15.1,-49.1,4,0.11,155,21,335.3,335.8,335.3
33,381.0,7984,-17.7,-50.2,4,0.10,145,25,336.6,337.0,336.6
34,375.0,8103,-18.5,-50.5,4,0.10,151,26,337.0,337.4,337.0
35,366.0,8284,-18.8,-51.5,4,0.09,160,27,339.0,339.4,339.0
36,363.0,8345,-18.9,-51.9,4,0.09,161,26,339.6,340.0,339.6
37,318.0,9307,-26.7,-47.9,12,0.16,175,10,341.9,342.6,342.0
38,300.0,9730,-30.1,-46.1,20,0.20,165,12,342.8,343.7,342.9
39,281.0,10191,-34.3,-48.1,23,0.17,155,14,343.3,344.0,343.3
40,274.0,10368,-35.9,-48.9,25,0.16,164,12,343.4,344.1,343.5
41,256.0,10837,-39.3,-56.8,14,0.07,190,8,345.1,345.4,345.1
42,250.0,11000,-40.5,-59.5,11,0.05,230,8,345.7,345.9,345.7
43,249.0,11027,-40.7,-60.7,10,0.04,234,8,345.8,346.0,345.8
44,241.0,11246,-42.7,-61.2,11,0.04,270,14,346.1,346.3,346.1
45,219.0,11886,-48.5,-62.5,18,0.04,,,346.7,346.9,346.7
