,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,113,,,,,,,,,
1,941.0,614,24.4,19.4,74,15.31,90,4,302.8,348.3,305.5
2,937.0,660,22.2,17.3,74,13.44,83,4,300.9,340.6,303.3
3,925.0,800,21.2,16.2,73,12.68,60,4,301.0,338.5,303.3
4,905.0,989,20.4,14.7,69,11.71,40,6,302.1,336.9,304.2
5,867.0,1359,18.9,11.6,63,9.99,60,2,304.2,334.3,306.0
6,850.0,1530,18.2,10.2,60,9.27,95,4,305.2,333.3,306.9
7,841.0,1621,17.6,11.6,68,10.30,100,5,305.5,336.7,307.4
8,832.0,1713,18.0,8.9,55,8.65,105,6,306.9,333.4,308.5
9,824.0,1796,18.4,6.4,45,7.37,108,7,308.1,330.9,309.5
10,820.0,1838,17.8,9.8,59,9.36,110,7,307.9,336.6,309.7
11,814.0,1901,17.8,8.8,56,8.80,113,8,308.6,335.7,310.2
12,806.0,1985,18.2,3.2,37,6.01,116,9,309.9,328.8,311.0
13,789.0,2167,17.0,1.0,34,5.24,124,11,310.5,327.1,311.5
14,785.0,2211,16.6,8.6,59,9.01,126,11,310.5,338.4,312.2
15,765.0,2430,16.1,4.8,47,7.08,135,14,312.2,334.5,313.6
16,755.0,2542,15.8,2.8,42,6.24,141,12,313.1,332.9,314.3
17,733.0,2792,14.3,2.7,46,6.38,155,8,314.1,334.5,315.3
18,709.0,3073,12.6,2.6,51,6.55,159,11,315.2,336.2,316.5
19,700.0,3180,12.2,-0.8,41,5.18,160,12,316.0,332.8,316.9
20,689.0,3313,11.6,-3.4,35,4.34,158,12,316.7,330.9,317.6
21,672.0,3519,10.1,-3.1,39,4.54,155,12,317.4,332.2,318.2
22,641.0,3909,7.3,-2.6,49,4.94,255,2,318.5,334.7,319.4
23,614.0,4265,4.8,-2.2,60,5.33,270,4,319.5,337.0,320.5
24,600.0,4453,4.0,-9.0,38,3.24,226,6,320.7,331.6,321.3
25,589.0,4602,2.9,-9.0,41,3.31,190,8,321.1,332.3,321.8
26,542.0,5271,-1.9,-8.9,59,3.62,175,12,323.1,335.4,323.8
27,529.0,5464,-2.3,-17.3,31,1.87,201,9,324.9,331.5,325.3
28,521.0,5585,-2.9,-15.9,36,2.14,217,8,325.6,333.1,326.0
29,514.0,5692,-2.9,-28.9,11,0.69,231,7,326.9,329.4,327.0
30,507.0,5800,-3.7,-19.7,28,1.59,245,5,327.2,332.9,327.5
31,503.0,5863,-3.9,-24.9,18,1.01,254,4,327.7,331.4,327.9
32,502.0,5879,-4.3,-19.3,30,1.66,256,4,327.4,333.3,327.7
33,500.0,5910,-4.5,-22.5,23,1.26,260,4,327.5,332.1,327.7
34,486.0,6133,-5.1,-20.1,30,1.60,279,4,329.4,335.2,329.7
35,482.0,6197,-5.6,-20.8,29,1.52,285,4,329.6,335.1,329.9
36,461.0,6540,-8.2,-24.8,25,1.11,200,4,330.5,334.6,330.7
37,444.0,6830,-10.5,-28.2,22,0.85,265,2,331.2,334.4,331.4
38,426.0,7149,-13.0,-31.9,19,0.62,10,2,332.0,334.4,332.1
39,411.0,7425,-15.1,-35.1,16,0.47,88,6,332.7,334.5,332.8
40,406.0,7518,-15.2,-41.5,9,0.25,115,8,333.7,334.8,333.8
41,400.0,7630,-15.3,-49.3,4,0.11,120,8,335.0,335.5,335.0
42,391.0,7802,-15.7,-51.7,3,0.08,124,8,336.7,337.0,336.7
43,361.0,8397,-19.1,-53.8,3,0.07,140,10,339.9,340.2,339.9
44,346.0,8714,-20.9,-54.9,3,0.06,125,10,341.6,341.9,341.6
45,317.0,9350,-25.9,-53.8,5,0.08,135,12,343.3,343.6,343.3
46,300.0,9750,-29.1,-53.1,8,0.09,110,10,344.2,344.7,344.3
47,293.0,9914,-30.7,-53.1,9,0.09,105,10,344.3,344.8,344.4
48,268.0,10536,-36.6,-53.2,16,0.10,135,10,344.5,345.0,344.6
49,250.0,11020,-41.3,-53.3,26,0.11,160,16,344.5,345.0,344.6
50,233.0,11492,-45.0,-57.0,25,0.07,170,25,345.9,346.2,345.9
51,231.0,11550,-45.5,-57.5,25,0.07,170,26,346.0,346.3,346.0
52,210.0,12176,-51.1,-57.1,49,0.08,170,31,346.8,347.2,346.8
53,200.0,12490,-53.9,-59.9,48,0.06,170,33,347.2,347.5,347.3
54,188.0,12885,-57.3,-65.3,35,0.03,170,37,348.0,348.1,348.0
55,176.0,13300,-59.3,-73.3,15,0.01,170,41,351.3,351.4,351.3
56,166.0,13662,-61.3,-75.6,13,0.01,170,45,353.9,354.0,353.9
57,150.0,14290,-64.7,-79.7,11,0.00,205,16,358.4,358.5,358.4
58,149.0,14331,-64.9,-79.9,11,0.00,210,14,358.8,358.8,358.8
59,142.0,14615,-67.3,-81.0,13,0.00,255,4,359.5,359.5,359.5
60,135.0,14914,-69.9,-82.2,15,0.00,290,6,360.1,360.2,360.1
61,121.0,15562,-75.5,-84.7,23,0.00,275,12,361.4,361.4,361.4
