,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,132,,,,,,,,,
1,942.0,614,21.6,17.2,76,13.28,40,10,299.8,338.9,302.2
2,925.0,812,20.0,16.7,81,13.10,50,16,299.8,338.3,302.1
3,909.0,963,18.6,15.7,83,12.49,57,23,299.8,336.6,302.1
4,903.0,1020,18.6,15.6,83,12.50,60,25,300.4,337.2,302.6
5,871.0,1330,18.4,15.1,81,12.54,75,24,303.3,340.8,305.6
6,866.0,1380,16.0,14.0,88,11.73,77,24,301.3,336.1,303.4
7,863.0,1409,18.4,15.1,81,12.66,79,24,304.1,342.0,306.4
8,850.0,1540,18.4,13.6,74,11.65,85,23,305.4,340.6,307.5
9,842.0,1621,19.6,12.6,64,11.00,89,23,307.5,341.0,309.5
10,817.0,1881,18.4,10.4,60,9.78,102,20,308.9,339.0,310.7
11,799.0,2073,19.8,2.8,32,5.89,112,18,312.4,331.1,313.5
12,794.0,2126,19.3,3.0,34,6.02,115,17,312.4,331.5,313.5
13,729.0,2851,12.4,5.7,64,7.95,100,12,312.6,337.5,314.1
14,718.0,2980,11.2,6.2,71,8.35,102,12,312.6,338.8,314.1
15,700.0,3192,9.6,5.3,75,8.04,105,14,313.1,338.4,314.6
16,676.0,3481,7.4,3.1,74,7.13,105,16,313.8,336.3,315.1
17,649.0,3817,7.2,-13.8,21,2.04,105,20,317.2,324.2,317.6
18,643.0,3893,6.4,-6.6,39,3.65,105,20,317.1,329.2,317.8
19,634.0,4009,5.6,-7.4,39,3.48,105,22,317.5,329.1,318.2
20,631.0,4048,5.2,-2.8,56,4.96,105,22,317.5,333.7,318.4
21,613.0,4284,4.2,-16.8,20,1.68,105,24,319.0,324.8,319.3
22,603.0,4417,3.0,-11.0,35,2.75,105,26,319.1,328.4,319.6
23,591.0,4579,2.1,-18.7,20,1.49,105,27,319.9,325.1,320.2
24,582.0,4703,1.4,-24.6,12,0.90,102,27,320.5,323.7,320.6
25,574.0,4815,0.6,-9.4,47,3.28,99,26,320.8,331.9,321.4
26,563.0,4970,-0.2,-7.0,60,4.03,95,25,321.6,335.1,322.4
27,557.0,5056,-0.7,-5.7,69,4.51,97,25,322.0,337.1,322.9
28,537.0,5347,-2.3,-19.3,26,1.55,103,23,323.5,329.0,323.8
29,500.0,5910,-6.1,-33.1,10,0.47,115,19,325.5,327.4,325.6
30,497.0,5957,-6.5,-31.5,12,0.56,117,19,325.6,327.7,325.7
31,491.0,6052,-6.9,-27.9,17,0.79,120,17,326.2,329.2,326.4
32,489.0,6084,-6.9,-15.9,49,2.28,122,17,326.6,334.6,327.1
33,486.0,6132,-7.3,-11.9,70,3.18,124,16,326.7,337.7,327.3
34,468.0,6425,-8.4,-14.2,63,2.74,135,12,328.8,338.4,329.4
35,449.0,6747,-9.7,-16.7,57,2.32,113,8,331.2,339.4,331.6
36,446.0,6798,-10.1,-16.9,57,2.29,110,8,331.3,339.6,331.8
37,425.0,7167,-12.7,-18.4,63,2.13,105,12,332.5,340.2,333.0
38,400.0,7630,-16.1,-20.2,71,1.93,120,12,334.0,341.0,334.4
39,388.0,7859,-17.7,-21.4,73,1.79,124,13,334.8,341.4,335.2
40,385.0,7917,-17.8,-22.9,64,1.59,125,14,335.5,341.3,335.8
41,377.0,8074,-17.9,-26.9,45,1.13,125,13,337.3,341.6,337.5
42,318.0,9320,-27.6,-38.4,35,0.44,125,8,340.6,342.4,340.7
43,311.0,9483,-28.9,-39.9,34,0.38,131,8,341.0,342.6,341.1
44,300.0,9740,-30.5,-40.5,37,0.37,140,8,342.3,343.8,342.4
45,290.0,9977,-32.8,-41.8,40,0.34,155,8,342.4,343.8,342.5
46,280.0,10223,-35.1,-43.1,44,0.30,136,6,342.5,343.7,342.5
47,271.0,10449,-36.1,-48.1,28,0.18,118,5,344.2,345.0,344.3
48,267.0,10550,-37.0,-48.8,28,0.17,110,4,344.5,345.2,344.5
49,255.0,10865,-39.6,-50.8,29,0.14,105,4,345.1,345.8,345.2
50,250.0,11000,-40.7,-51.7,30,0.13,80,4,345.4,346.0,345.4
51,247.0,11082,-41.3,-52.3,29,0.12,67,4,345.7,346.3,345.7
52,239.0,11300,-43.1,-54.6,27,0.10,30,6,346.3,346.7,346.3
53,226.0,11671,-46.2,-58.5,24,0.06,85,6,347.1,347.4,347.1
54,213.0,12063,-49.4,-62.5,20,0.04,130,12,348.0,348.2,348.0
55,200.0,12480,-52.9,-66.9,17,0.02,155,17,348.8,348.9,348.8
56,191.0,12770,-55.3,-69.3,16,0.02,165,25,349.7,349.7,349.7
57,164.0,13728,-63.1,-77.1,13,0.01,152,29,352.1,352.1,352.1
58,150.0,14270,-67.9,-76.9,27,0.01,145,31,352.9,353.0,352.9
59,146.0,14432,-69.3,-76.3,36,0.01,144,33,353.2,353.3,353.2
60,137.0,14807,-71.3,-79.6,28,0.01,140,37,356.2,356.2,356.2
61,126.0,15301,-73.9,-83.9,20,0.00,121,30,360.1,360.1,360.1
62,110.0,16071,-80.5,-85.7,42,0.00,90,19,361.9,361.9,361.9
63,101.0,16555,-84.7,-86.8,70,0.00,72,21,362.8,362.8,362.8
64,100.0,16610,-85.1,-86.9,73,0.00,70,21,363.1,363.1,363.1
65,95.7,16852,-86.7,-87.2,92,0.00,70,23,364.5,364.5,364.5
66,95.6,16857,-86.7,-87.2,92,0.00,70,23,364.6,364.6,364.6
67,91.0,17133,-84.1,-86.2,70,0.00,70,25,374.9,374.9,374.9
68,83.0,17646,-79.3,-84.3,44,0.00,119,8,394.7,394.8,394.7
69,82.0,17716,-77.3,-84.0,34,0.00,125,6,400.2,400.2,400.2
70,81.2,17772,-75.7,-83.7,28,0.00,126,6,404.6,404.6,404.6
71,77.0,18079,-76.1,-84.1,28,0.00,130,6,410.0,410.1,410.0
72,72.0,18467,-76.5,-84.5,27,0.00,105,6,417.0,417.0,417.0
73,70.0,18630,-76.7,-84.7,27,0.00,110,8,420.0,420.0,420.0
74,69.8,18646,-76.7,-84.7,27,0.00,110,8,420.3,420.4,420.3
75,68.0,18800,-74.1,-83.8,21,0.01,115,10,429.0,429.0,429.0
76,64.6,19100,-69.1,-82.1,14,0.01,170,10,446.3,446.4,446.4
77,64.0,19155,-69.3,-82.3,14,0.01,180,10,447.2,447.2,447.2
78,60.0,19539,-70.4,-83.4,13,0.01,265,6,452.9,452.9,452.9
79,57.2,19822,-71.3,-84.3,13,0.01,335,6,457.1,457.2,457.1
80,57.0,19844,-71.1,-84.3,13,0.01,340,6,458.0,458.0,458.0
81,53.0,20280,-67.6,-84.5,7,0.01,45,14,475.9,475.9,475.9
82,50.0,20630,-64.7,-84.7,5,0.01,50,16,490.6,490.6,490.6
83,48.0,20880,-63.7,-84.8,4,0.01,50,14,498.8,498.8,498.8
84,43.2,21527,-61.1,-85.1,3,0.01,73,19,520.4,520.4,520.4
85,40.0,22002,-61.2,-85.2,3,0.01,90,23,531.6,531.7,531.6
86,31.0,23577,-61.6,-85.7,3,0.01,90,33,570.6,570.7,570.6
87,30.0,23780,-61.7,-85.7,3,0.01,90,29,575.9,575.9,575.9
88,29.9,23801,-61.7,-85.7,3,0.01,90,29,576.4,576.5,576.4
89,27.0,24445,-55.1,-84.5,1,0.01,80,17,612.1,612.2,612.1
90,26.2,24635,-53.1,-84.1,1,0.01,84,20,622.9,623.0,622.9
91,24.0,25198,-54.0,-83.3,2,0.02,95,29,636.1,636.2,636.1
92,22.5,25612,-54.7,-82.7,2,0.02,,,645.9,646.1,645.9
