,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,120,,,,,,,,,
1,941.0,614,21.4,20.9,97,16.84,340,4,299.7,349.1,302.7
2,940.0,626,21.0,20.4,96,16.33,343,4,299.4,347.3,302.3
3,925.0,800,20.0,19.3,96,15.48,25,6,299.8,345.2,302.5
4,903.0,1008,19.2,18.2,94,14.81,40,12,301.0,344.7,303.7
5,850.0,1530,17.2,15.5,90,13.20,55,12,304.1,343.7,306.6
6,843.0,1601,17.8,14.5,81,12.46,57,11,305.5,343.1,307.8
7,797.0,2080,15.0,10.0,72,9.76,68,10,307.4,337.3,309.3
8,790.0,2154,14.3,10.6,79,10.28,70,10,307.4,338.8,309.4
9,774.0,2327,12.6,12.1,97,11.59,67,11,307.4,342.7,309.6
10,739.0,2715,10.4,9.4,94,10.12,59,13,309.1,340.2,311.0
11,732.0,2795,9.4,6.1,80,8.13,57,13,308.9,334.0,310.4
12,723.0,2897,9.4,5.6,77,7.94,55,14,310.0,334.6,311.5
13,703.0,3130,9.4,4.4,71,7.51,42,15,312.5,336.1,313.9
14,700.0,3166,9.4,2.4,62,6.54,40,16,312.9,333.6,314.1
15,692.0,3261,9.6,-5.4,34,3.71,35,16,314.1,326.2,314.8
16,691.0,3273,9.6,-6.4,32,3.44,34,15,314.2,325.6,314.9
17,679.0,3418,9.0,-9.0,27,2.86,23,13,315.1,324.7,315.7
18,676.0,3455,8.6,-2.4,46,4.77,20,13,315.1,330.6,316.0
19,669.0,3541,7.8,-1.2,53,5.27,13,11,315.1,332.1,316.1
20,661.0,3639,6.9,-1.1,57,5.39,5,10,315.2,332.6,316.3
21,631.0,4019,3.5,-0.5,75,5.90,340,8,315.6,334.5,316.7
22,623.0,4123,2.6,-0.3,81,6.05,345,7,315.7,335.1,316.8
23,605.0,4360,0.9,-2.1,80,5.46,355,6,316.4,334.1,317.4
24,594.0,4507,-0.1,-3.2,80,5.11,359,7,316.9,333.5,317.9
25,580.0,4698,-0.3,-12.3,40,2.58,5,8,318.8,327.5,319.3
26,579.0,4712,-0.4,-12.4,40,2.56,5,8,318.8,327.5,319.3
27,554.0,5062,-3.1,-15.1,39,2.15,350,16,319.7,327.1,320.1
28,541.0,5251,-4.5,-16.5,39,1.96,347,19,320.2,327.0,320.6
29,531.0,5398,-4.3,-20.7,27,1.39,345,21,322.2,327.1,322.4
30,523.0,5517,-4.1,-24.1,19,1.05,348,17,323.8,327.6,324.0
31,506.0,5776,-5.9,-28.1,15,0.75,355,8,324.7,327.5,324.9
32,500.0,5870,-6.5,-29.5,14,0.67,0,8,325.1,327.6,325.2
33,483.0,6138,-7.6,-33.8,10,0.46,10,8,327.0,328.7,327.1
34,463.0,6467,-8.9,-39.1,7,0.28,345,8,329.3,330.4,329.4
35,436.0,6933,-10.7,-46.7,3,0.13,352,9,332.7,333.2,332.7
36,423.0,7164,-12.4,-43.5,6,0.19,355,10,333.4,334.2,333.5
37,400.0,7590,-15.5,-37.5,13,0.38,340,12,334.8,336.3,334.8
38,385.0,7874,-18.0,-40.7,12,0.29,340,10,335.2,336.4,335.2
39,366.0,8250,-21.2,-44.9,10,0.19,285,6,335.7,336.5,335.8
40,360.0,8373,-22.3,-46.3,9,0.17,265,6,335.9,336.6,335.9
41,348.0,8619,-23.5,-53.6,5,0.07,225,8,337.5,337.8,337.5
42,331.0,8983,-25.3,-64.4,1,0.02,285,16,339.9,340.0,339.9
43,322.0,9184,-26.3,-70.3,1,0.01,288,17,341.2,341.3,341.2
44,315.0,9341,-27.5,-67.2,1,0.01,290,17,341.6,341.7,341.6
45,300.0,9690,-30.3,-60.3,4,0.04,285,16,342.6,342.7,342.6
46,250.0,10960,-40.1,-65.1,5,0.02,240,19,346.3,346.4,346.3
47,246.0,11068,-41.0,-65.4,5,0.02,235,19,346.6,346.7,346.6
48,234.0,11402,-43.7,-66.3,6,0.02,225,19,347.5,347.6,347.5
49,202.0,12384,-51.6,-68.9,11,0.02,250,17,349.9,350.0,350.0
50,200.0,12450,-52.1,-69.1,11,0.02,250,17,350.1,350.2,350.1
51,173.0,13369,-59.5,-76.5,9,0.01,247,16,352.7,352.7,352.7
52,155.0,14040,-65.7,-77.3,18,0.01,245,16,353.4,353.5,353.4
53,150.0,14240,-67.5,-77.5,23,0.01,255,14,353.6,353.6,353.6
54,147.0,14359,-68.6,-78.1,24,0.01,265,14,353.8,353.8,353.8
55,122.0,15453,-78.5,-83.5,44,0.00,223,19,355.1,355.1,355.1
56,118.0,15640,-79.5,-84.1,47,0.00,215,19,356.5,356.5,356.5
57,112.0,15934,-81.2,-85.0,53,0.00,190,23,358.8,358.8,358.8
58,104.0,16352,-83.5,-86.3,62,0.00,180,21,362.1,362.1,362.1
59,101.0,16515,-83.3,-86.3,60,0.00,173,18,365.5,365.5,365.5
60,100.0,16570,-83.7,-86.5,62,0.00,170,17,365.8,365.8,365.8
61,98.5,16654,-84.1,-86.6,65,0.00,175,15,366.6,366.6,366.6
62,94.0,16916,-83.4,-86.5,59,0.00,190,8,373.0,373.0,373.0
63,89.0,17223,-82.5,-86.3,52,0.00,0,6,380.6,380.6,380.6
64,84.0,17547,-81.6,-86.2,46,0.00,160,12,388.8,388.8,388.8
65,79.0,17891,-80.6,-86.0,40,0.00,170,29,397.6,397.6,397.6
66,70.0,18570,-78.7,-85.7,31,0.00,270,10,415.7,415.7,415.7
67,66.0,18904,-78.5,-86.0,28,0.00,110,4,423.3,423.3,423.3
68,63.3,19141,-78.3,-86.3,27,0.00,26,6,428.7,428.7,428.7
69,62.0,19260,-77.6,-86.2,24,0.00,345,8,432.8,432.8,432.8
70,59.2,19524,-76.1,-86.1,20,0.00,55,10,441.9,441.9,441.9
71,59.0,19544,-75.6,-86.0,19,0.00,60,10,443.4,443.4,443.4
72,56.2,19828,-69.1,-84.1,10,0.01,69,13,464.5,464.5,464.5
73,56.0,19849,-69.2,-84.2,10,0.01,70,14,464.7,464.8,464.7
74,52.4,20243,-71.1,-86.1,9,0.00,52,8,469.2,469.2,469.2
75,52.0,20288,-70.9,-86.3,9,0.00,50,8,470.6,470.6,470.6
76,50.0,20520,-70.1,-87.1,7,0.00,115,6,477.9,477.9,477.9
77,49.0,20641,-69.8,-87.0,7,0.00,135,6,481.4,481.5,481.4
78,46.0,21019,-68.7,-86.7,6,0.00,125,10,492.7,492.7,492.7
79,45.9,21032,-68.7,-86.7,6,0.00,120,10,493.1,493.1,493.1
80,44.0,21288,-64.7,-86.7,3,0.00,25,8,508.9,508.9,508.9
81,41.0,21723,-62.7,-86.2,3,0.01,30,8,524.1,524.2,524.1
82,40.1,21859,-62.1,-86.1,3,0.01,34,9,529.0,529.1,529.0
83,39.0,22031,-62.4,-86.1,3,0.01,40,12,532.6,532.7,532.6
84,36.0,22526,-63.1,-86.3,3,0.01,75,17,543.0,543.1,543.0
85,35.2,22665,-63.3,-86.3,3,0.01,77,19,546.0,546.0,546.0
86,32.0,23258,-60.6,-85.9,2,0.01,85,25,568.4,568.5,568.4
87,30.0,23660,-58.7,-85.7,2,0.01,105,21,584.0,584.1,584.0
88,29.0,23874,-57.8,-85.4,2,0.01,75,19,592.1,592.2,592.1
89,28.2,24050,-57.1,-85.1,2,0.01,80,22,598.9,599.0,598.9
90,24.0,25065,-59.5,-85.5,2,0.01,110,35,620.1,620.3,620.2
91,21.6,25734,-53.5,-83.5,1,0.02,107,26,657.0,657.2,657.1
92,20.0,26230,-52.3,-82.3,2,0.02,105,19,675.3,675.6,675.3
93,19.0,26563,-51.8,-82.1,1,0.02,95,14,686.9,687.1,686.9
94,17.0,27284,-50.7,-81.7,1,0.03,70,16,712.6,712.9,712.6
95,15.9,27724,-46.5,-80.5,1,0.04,65,23,740.0,740.5,740.0
96,15.0,28110,-47.1,-80.5,1,0.04,60,29,750.3,750.8,750.4
97,14.5,28334,-47.5,-80.5,1,0.04,,,756.4,756.9,756.4
