,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   102,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  939.0 ,   614,   22.4,   20.7,     90,  16.67,     60,      6,  300.9,  350.1,  303.9
2,  938.0 ,   626,   22.0,   19.9,     88,  15.86,     60,      6,  300.6,  347.3,  303.4
3,  934.0 ,   675,   21.4,   20.9,     97,  16.97,     62,      7,  300.4,  350.3,  303.4
4,  925.0 ,   786,   21.8,   20.1,     90,  16.29,     65,     10,  301.6,  349.8,  304.5
5,  884.0 ,  1179,   19.4,   18.0,     92,  14.92,     74,     18,  303.0,  347.5,  305.8
6,  877.0 ,  1248,   19.4,   17.1,     86,  14.16,     75,     19,  303.7,  346.0,  306.3
7,  850.0 ,  1518,   19.4,   13.4,     68,  11.49,     65,     16,  306.4,  341.3,  308.6
8,  827.0 ,  1754,   18.8,   10.8,     60,   9.93,     54,     11,  308.2,  338.7,  310.1
9,  818.0 ,  1848,   17.9,   11.2,     65,  10.30,     50,     10,  308.2,  339.8,  310.1
10,  806.0 ,  1975,   16.6,   11.7,     73,  10.83,     50,     10,  308.2,  341.3,  310.2
11,  762.0 ,  2451,   13.8,    5.8,     58,   7.64,     52,     11,  310.1,  333.9,  311.6
12,  738.0 ,  2720,   11.6,    8.8,     83,   9.72,     53,     11,  310.6,  340.7,  312.4
13,  726.0 ,  2858,   11.0,    5.0,     66,   7.59,     54,     11,  311.4,  335.1,  312.8
14,  722.0 ,  2904,   10.6,    7.5,     81,   9.09,     54,     11,  311.4,  339.7,  313.1
15,  709.0 ,  3056,   10.6,    3.6,     62,   7.04,     55,     12,  313.1,  335.3,  314.4
16,  704.0 ,  3115,   10.0,    5.2,     72,   7.94,     55,     12,  313.0,  338.0,  314.5
17,  700.0 ,  3162,    9.8,    3.8,     66,   7.23,     55,     12,  313.3,  336.2,  314.7
18,  698.0 ,  3186,   10.0,    2.0,     58,   6.37,     55,     12,  313.8,  334.1,  315.0
19,  695.0 ,  3222,    9.4,    4.4,     71,   7.60,     55,     12,  313.5,  337.5,  314.9
20,  682.0 ,  3379,   10.0,   -3.0,     40,   4.52,     56,     11,  315.9,  330.6,  316.7
21,  596.0 ,  4486,    2.6,   -8.4,     44,   3.42,     62,      9,  319.7,  331.2,  320.4
22,  586.0 ,  4623,    3.0,  -14.0,     27,   2.22,     63,      9,  321.7,  329.4,  322.1
23,  575.0 ,  4776,    1.6,  -10.4,     41,   3.03,     64,      8,  321.8,  332.1,  322.4
24,  567.0 ,  4889,    1.4,  -16.6,     25,   1.85,     64,      8,  322.9,  329.4,  323.2
25,  509.0 ,  5749,   -4.7,  -21.7,     25,   1.33,     69,      6,  325.6,  330.4,  325.8
26,  500.0 ,  5890,   -4.5,  -22.5,     23,   1.26,     70,      6,  327.5,  332.1,  327.7
27,  491.0 ,  6032,   -4.9,  -22.9,     23,   1.24,     70,      4,  328.7,  333.3,  328.9
28,  475.0 ,  6289,   -7.1,  -25.1,     22,   1.05,     70,      2,  329.1,  333.0,  329.3
29,  453.0 ,  6657,  -10.3,  -28.3,     21,   0.82,     64,      7,  329.6,  332.7,  329.8
30,  420.0 ,  7230,  -13.9,  -34.4,     16,   0.50,     55,     16,  332.1,  334.1,  332.2
31,  400.0 ,  7600,  -16.3,  -38.3,     13,   0.35,     55,     14,  333.7,  335.1,  333.8
32,  363.0 ,  8325,  -20.9,  -41.9,     13,   0.27,     42,     12,  337.0,  338.1,  337.0
33,  359.0 ,  8407,  -21.4,  -41.1,     15,   0.29,     40,     12,  337.3,  338.5,  337.4
34,  357.0 ,  8448,  -21.7,  -40.7,     16,   0.31,     44,     11,  337.5,  338.8,  337.6
35,  353.0 ,  8531,  -22.1,  -33.1,     36,   0.67,     51,     10,  338.0,  340.7,  338.2
36,  349.0 ,  8615,  -22.7,  -42.7,     14,   0.25,     58,      9,  338.3,  339.4,  338.4
37,  345.0 ,  8699,  -23.2,  -43.7,     13,   0.23,     65,      8,  338.8,  339.7,  338.8
