,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,88,,,,,,,,,
1,938.0,614,22.0,19.4,85,15.36,20,6,300.6,345.9,303.4
2,925.0,770,21.6,17.4,77,13.70,25,12,301.4,341.9,303.9
3,850.0,1500,17.2,14.8,86,12.61,35,31,304.1,341.9,306.4
4,842.0,1581,16.6,14.6,88,12.56,35,34,304.3,342.0,306.6
5,829.0,1714,18.4,14.3,77,12.51,35,38,307.6,345.6,309.9
6,828.0,1725,18.4,14.2,77,12.48,35,39,307.7,345.6,310.0
7,784.0,2193,16.8,11.8,72,11.21,44,26,310.8,345.4,312.9
8,754.0,2524,13.9,10.5,80,10.70,50,17,311.2,344.3,313.2
9,749.0,2581,13.4,10.3,82,10.61,53,17,311.2,344.1,313.2
10,702.0,3126,11.6,6.7,72,8.84,79,12,315.0,343.0,316.7
11,700.0,3150,11.4,6.6,72,8.81,80,12,315.1,342.9,316.8
12,689.0,3282,10.5,5.7,72,8.39,85,10,315.5,342.1,317.1
13,658.0,3664,7.9,3.0,71,7.26,60,2,316.8,340.1,318.2
14,647.0,3804,7.0,2.0,70,6.88,26,2,317.3,339.4,318.6
15,629.0,4036,5.8,-2.2,56,5.20,330,2,318.5,335.5,319.5
16,625.0,4088,5.8,-6.2,42,3.87,340,2,319.0,331.9,319.8
17,611.0,4273,3.8,-0.4,74,6.12,15,4,318.8,338.7,320.0
18,604.0,4367,3.8,-10.2,35,2.93,32,5,319.9,329.8,320.4
19,599.0,4434,3.4,-13.6,28,2.25,45,6,320.2,327.9,320.6
20,584.0,4640,2.2,-23.8,13,0.96,65,8,321.1,324.6,321.3
21,572.0,4807,0.8,-16.2,27,1.90,82,9,321.4,328.0,321.7
22,570.0,4835,0.6,-12.4,37,2.60,85,10,321.4,330.4,321.9
23,569.0,4849,0.8,-4.2,69,4.95,85,10,321.8,338.3,322.8
24,566.0,4891,0.8,-1.6,84,6.05,85,10,322.3,342.3,323.5
25,546.0,5180,-1.3,-3.4,86,5.48,87,10,323.2,341.4,324.2
26,527.0,5463,-1.3,-6.0,70,4.66,88,11,326.4,342.2,327.4
27,500.0,5880,-4.7,-7.1,83,4.52,90,12,327.2,342.6,328.1
28,497.0,5927,-5.3,-7.2,86,4.51,90,13,327.1,342.4,328.0
29,494.0,5975,-5.5,-7.4,86,4.46,90,14,327.4,342.5,328.2
30,481.0,6184,-6.5,-8.4,86,4.24,110,11,328.7,343.2,329.5
31,472.0,6332,-5.0,-11.9,59,3.27,125,10,332.3,343.8,332.9
32,470.0,6365,-4.7,-12.7,54,3.08,127,10,333.1,344.0,333.7
33,428.0,7094,-10.3,-19.3,48,1.95,169,9,335.0,342.1,335.4
34,400.0,7610,-14.7,-20.7,60,1.85,200,8,335.8,342.6,336.2
35,372.0,8155,-19.3,-23.9,67,1.50,219,11,336.7,342.3,337.0
36,370.0,8195,-19.5,-24.0,67,1.49,220,12,337.0,342.6,337.3
37,336.0,8908,-22.5,-26.5,70,1.31,110,12,342.3,347.3,342.6
38,330.0,9038,-23.5,-27.6,69,1.21,90,12,342.7,347.4,343.0
39,300.0,9730,-28.7,-33.3,65,0.77,100,17,344.8,347.9,345.0
40,279.0,10246,-32.7,-38.5,56,0.49,115,16,346.3,348.3,346.4
41,276.0,10322,-33.3,-39.3,55,0.46,115,15,346.5,348.4,346.6
42,250.0,11010,-39.1,-45.1,53,0.27,115,14,347.8,349.0,347.9
43,249.0,11037,-39.3,-45.4,53,0.27,115,14,347.8,349.0,347.9
44,236.0,11392,-42.6,-49.1,49,0.19,100,14,348.3,349.1,348.3
45,210.0,12166,-49.7,-57.3,41,0.08,110,19,349.0,349.3,349.0
46,200.0,12490,-52.7,-60.7,37,0.05,90,21,349.1,349.4,349.2
47,197.0,12584,-53.5,-61.6,37,0.05,85,21,349.4,349.6,349.4
48,165.0,13687,-63.0,-71.7,30,0.01,80,27,351.6,351.7,351.6
49,150.0,14280,-68.1,-77.1,27,0.01,100,33,352.6,352.6,352.6
50,144.0,14519,-70.0,-78.2,29,0.01,110,35,353.4,353.4,353.4
51,127.0,15255,-76.0,-81.6,41,0.00,120,41,355.5,355.5,355.5
52,118.0,15685,-79.5,-83.6,51,0.00,117,33,356.6,356.6,356.6
53,112.0,15980,-80.3,-84.5,50,0.00,115,27,360.5,360.5,360.5
54,103.0,16453,-81.6,-85.9,49,0.00,55,14,366.7,366.7,366.7
55,101.0,16564,-81.9,-86.2,48,0.00,58,15,368.2,368.2,368.2
56,100.0,16620,-82.5,-85.9,56,0.00,60,16,368.1,368.1,368.1
57,97.9,16738,-83.3,-85.9,64,0.00,66,15,368.8,368.8,368.8
58,91.0,17143,-83.9,-86.3,66,0.00,85,14,375.4,375.4,375.4
59,90.7,17161,-83.9,-86.3,66,0.00,88,14,375.7,375.7,375.7
60,85.0,17528,-79.8,-85.2,40,0.00,150,16,391.1,391.1,391.1
61,80.5,17835,-76.3,-84.3,27,0.00,168,17,404.4,404.4,404.4
62,80.0,17871,-76.3,-84.3,27,0.00,170,17,405.1,405.1,405.1
63,76.0,18166,-76.1,-84.1,28,0.00,130,12,411.4,411.4,411.4
64,71.0,18558,-75.9,-83.9,28,0.00,150,14,419.9,419.9,419.9
65,70.0,18640,-75.9,-83.9,28,0.01,160,14,421.7,421.7,421.7
66,69.9,18648,-75.9,-83.9,28,0.01,161,14,421.9,421.9,421.9
67,68.5,18766,-72.7,-82.7,21,0.01,182,14,431.2,431.2,431.2
68,63.0,19261,-70.5,-83.2,14,0.01,265,14,446.5,446.6,446.5
69,60.7,19481,-69.5,-83.5,11,0.01,291,16,453.5,453.5,453.5
70,59.0,19650,-69.7,-84.3,10,0.01,310,17,456.7,456.7,456.7
71,55.0,20068,-70.2,-86.4,8,0.00,295,19,464.8,464.8,464.8
72,53.0,20288,-70.5,-87.5,7,0.00,288,12,469.1,469.1,469.1
73,52.0,20403,-68.2,-87.4,5,0.00,285,8,477.1,477.1,477.1
74,50.0,20640,-63.3,-87.3,3,0.00,305,14,493.9,493.9,493.9
75,49.5,20702,-62.7,-86.7,3,0.00,309,14,496.7,496.8,496.7
76,46.0,21153,-63.1,-87.1,3,0.00,340,16,506.2,506.2,506.2
77,43.2,21539,-63.5,-87.5,3,0.00,22,12,514.5,514.5,514.5
78,43.0,21568,-63.2,-87.5,2,0.00,25,12,515.8,515.9,515.8
79,38.0,22343,-56.0,-86.8,1,0.01,200,12,552.9,552.9,552.9
80,37.2,22477,-54.7,-86.7,1,0.01,143,9,559.5,559.5,559.5
81,36.0,22686,-54.9,-86.7,1,0.01,55,6,564.3,564.4,564.3
82,32.0,23438,-55.4,-86.7,1,0.01,220,12,582.2,582.2,582.2
83,30.0,23850,-55.7,-86.7,1,0.01,235,12,592.2,592.3,592.2
84,28.0,24288,-56.6,-86.9,1,0.01,120,2,601.6,601.7,601.6
85,26.8,24566,-57.1,-87.1,1,0.01,96,10,607.7,607.7,607.7
86,26.0,24758,-56.6,-86.9,1,0.01,80,16,614.3,614.4,614.3
87,25.0,25007,-56.0,-86.6,1,0.01,95,17,623.0,623.1,623.0
88,23.9,25293,-55.3,-86.3,1,0.01,,,633.1,633.2,633.1
