,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   117,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  941.0 ,   614,   23.4,   21.3,     88,  17.27,     40,      8,  301.8,  352.9,  304.9
2,  925.0 ,   802,   21.8,   19.0,     84,  15.19,     50,     12,  301.6,  346.5,  304.3
3,  873.0 ,  1303,   18.0,   17.1,     94,  14.26,     61,     22,  302.7,  345.1,  305.3
4,  857.0 ,  1462,   17.9,   15.0,     83,  12.69,     65,     25,  304.1,  342.1,  306.4
5,  850.0 ,  1533,   17.8,   14.1,     79,  12.04,     70,     25,  304.8,  341.0,  307.0
6,  834.0 ,  1696,   17.4,   11.4,     68,  10.25,     78,     22,  306.0,  337.1,  307.9
7,  814.0 ,  1904,   19.4,    2.4,     32,   5.62,     89,     18,  310.3,  328.0,  311.3
8,  778.0 ,  2291,   17.6,    0.6,     32,   5.16,    109,     10,  312.4,  328.9,  313.3
9,  751.0 ,  2590,   15.2,   -0.9,     33,   4.79,    125,      4,  312.9,  328.3,  313.8
10,  719.0 ,  2958,   12.2,   -2.8,     35,   4.35,    103,      5,  313.6,  327.6,  314.4
11,  700.0 ,  3182,   11.4,   -4.6,     32,   3.90,     90,      6,  315.1,  327.9,  315.8
12,  684.0 ,  3374,   10.4,   -5.6,     32,   3.70,     73,      6,  316.1,  328.2,  316.8
13,  681.0 ,  3411,   10.3,   -5.2,     33,   3.84,     70,      6,  316.3,  329.0,  317.1
14,  673.0 ,  3509,   10.0,   -4.0,     37,   4.25,     91,      5,  317.1,  331.0,  317.9
15,  670.0 ,  3546,    9.6,    1.6,     57,   6.45,     99,      5,  317.0,  337.8,  318.3
16,  657.0 ,  3708,    9.0,   -5.0,     37,   4.03,    133,      4,  318.1,  331.5,  318.9
17,  647.0 ,  3834,    7.9,   -3.5,     44,   4.58,    160,      4,  318.3,  333.3,  319.2
18,  630.0 ,  4053,    6.0,   -1.0,     61,   5.68,    149,      5,  318.5,  337.0,  319.6
19,  621.0 ,  4171,    5.4,   -6.6,     42,   3.78,    143,      6,  319.2,  331.7,  319.9
20,  587.0 ,  4627,    1.6,  -13.2,     32,   2.37,    120,      8,  319.9,  328.1,  320.4
21,  585.0 ,  4654,    1.4,  -13.6,     32,   2.30,    121,      8,  320.0,  327.9,  320.4
22,  568.0 ,  4890,   -0.9,   -5.9,     69,   4.36,    127,     10,  320.0,  334.4,  320.9
23,  555.0 ,  5075,   -1.3,  -14.3,     37,   2.29,    132,     12,  321.6,  329.6,  322.1
24,  549.0 ,  5161,   -1.5,   -8.5,     59,   3.69,    134,     13,  322.4,  334.9,  323.1
25,  532.0 ,  5411,   -2.9,   -6.8,     74,   4.34,    141,     16,  323.6,  338.2,  324.5
26,  512.0 ,  5713,   -4.5,   -8.5,     74,   3.95,    149,     19,  325.3,  338.7,  326.1
27,  510.0 ,  5744,   -4.3,   -9.3,     68,   3.73,    150,     19,  325.9,  338.6,  326.6
28,  509.0 ,  5760,   -3.9,  -16.9,     36,   2.01,    150,     19,  326.6,  333.7,  326.9
29,  507.0 ,  5791,   -4.1,  -22.1,     23,   1.29,    150,     19,  326.7,  331.4,  326.9
30,  504.0 ,  5837,   -4.3,  -17.3,     36,   1.96,    150,     18,  327.0,  334.0,  327.4
31,  500.0 ,  5900,   -4.7,  -17.7,     35,   1.91,    150,     17,  327.2,  334.1,  327.6
32,  496.0 ,  5964,   -4.9,  -21.9,     25,   1.34,    150,     16,  327.8,  332.6,  328.0
33,  490.0 ,  6060,   -5.5,  -13.5,     53,   2.77,    150,     15,  328.2,  337.9,  328.7
34,  487.0 ,  6108,   -5.8,  -15.9,     45,   2.29,    150,     14,  328.4,  336.5,  328.9
35,  483.0 ,  6173,   -6.1,  -19.1,     35,   1.76,    145,     13,  328.8,  335.1,  329.1
36,  476.0 ,  6288,   -7.1,  -17.1,     45,   2.11,    137,     11,  328.9,  336.4,  329.3
37,  474.0 ,  6321,   -7.3,  -23.3,     27,   1.24,    135,     10,  329.1,  333.6,  329.3
38,  471.0 ,  6370,   -7.5,  -21.5,     32,   1.46,    131,      9,  329.4,  334.7,  329.7
39,  469.0 ,  6404,   -7.7,  -28.7,     17,   0.77,    129,      9,  329.6,  332.5,  329.7
40,  466.0 ,  6454,   -8.0,  -25.2,     24,   1.07,    125,      8,  329.7,  333.7,  329.9
41,  462.0 ,  6521,   -8.5,  -20.5,     37,   1.63,    128,      8,  330.0,  335.9,  330.3
42,  460.0 ,  6555,   -8.5,  -26.5,     22,   0.96,    130,      8,  330.4,  334.0,  330.6
43,  455.0 ,  6640,   -9.5,  -17.5,     52,   2.14,    134,      9,  330.2,  337.8,  330.6
44,  451.0 ,  6709,   -9.9,  -24.9,     28,   1.13,    137,      9,  330.5,  334.7,  330.7
45,  447.0 ,  6778,  -10.5,  -26.5,     26,   0.99,    140,     10,  330.6,  334.3,  330.8
46,  436.0 ,  6970,  -12.3,  -18.3,     61,   2.09,    149,     11,  330.7,  338.1,  331.1
47,  432.0 ,  7041,  -12.5,  -18.5,     61,   2.07,    152,     12,  331.3,  338.7,  331.7
48,  428.0 ,  7112,  -12.5,  -26.5,     30,   1.03,    156,     12,  332.2,  336.0,  332.4
49,  424.0 ,  7184,  -12.9,  -23.9,     39,   1.32,    159,     13,  332.6,  337.4,  332.8
50,  421.0 ,  7239,  -12.7,  -34.7,     14,   0.48,    162,     13,  333.5,  335.4,  333.6
51,  418.0 ,  7293,  -12.9,  -38.9,      9,   0.32,    164,     13,  333.9,  335.2,  334.0
52,  412.0 ,  7404,  -13.1,  -27.1,     30,   1.01,    169,     14,  335.0,  338.9,  335.2
53,  410.0 ,  7441,  -13.5,  -19.5,     61,   2.00,    171,     14,  335.0,  342.3,  335.4
54,  401.0 ,  7611,  -14.5,  -20.5,     60,   1.88,    179,     15,  335.8,  342.7,  336.2
55,  400.0 ,  7630,  -14.7,  -20.7,     60,   1.85,    180,     16,  335.8,  342.6,  336.2
56,  385.0 ,  7915,  -17.2,  -21.6,     68,   1.78,    195,     16,  336.2,  342.8,  336.6
57,  367.0 ,  8272,  -20.3,  -22.7,     80,   1.69,    180,     14,  336.8,  343.0,  337.1
58,  360.0 ,  8415,  -21.5,  -23.2,     86,   1.65,    195,     12,  336.9,  343.1,  337.3
59,  357.0 ,  8477,  -20.3,  -29.3,     44,   0.95,    202,     11,  339.4,  343.1,  339.6
60,  349.0 ,  8644,  -21.2,  -42.2,     13,   0.27,    220,     10,  340.3,  341.4,  340.4
61,  345.0 ,  8729,  -21.7,  -48.7,      7,   0.13,    217,     10,  340.8,  341.4,  340.8
62,  328.0 ,  9098,  -24.5,  -55.5,      4,   0.06,    202,     14,  341.9,  342.2,  341.9
63,  324.0 ,  9187,  -24.3,  -36.3,     32,   0.53,    198,     14,  343.4,  345.5,  343.5
64,  303.0 ,  9669,  -28.9,  -35.9,     51,   0.59,    178,     19,  343.6,  345.9,  343.7
65,  300.0 ,  9740,  -29.5,  -36.5,     51,   0.56,    175,     19,  343.7,  346.0,  343.8
66,  293.0 ,  9909,  -30.5,  -40.5,     37,   0.38,    171,     21,  344.6,  346.2,  344.7
67,  281.0 , 10203,  -33.0,  -42.6,     38,   0.32,    165,     23,  345.2,  346.5,  345.3
68,  261.0 , 10723,  -37.3,  -46.3,     39,   0.23,    188,     18,  346.2,  347.2,  346.2
69,  251.0 , 10992,  -39.7,  -46.8,     46,   0.23,    200,     16,  346.6,  347.5,  346.6
70,  250.0 , 11020,  -39.9,  -46.9,     47,   0.22,    200,     16,  346.6,  347.6,  346.7
71,  237.0 , 11381,  -43.0,  -46.7,     67,   0.24,    230,     12,  347.2,  348.3,  347.3
72,  235.0 , 11438,  -43.5,  -46.7,     70,   0.24,    233,     12,  347.4,  348.4,  347.4
73,  212.0 , 12121,  -48.9,  -55.9,     44,   0.09,    267,     22,  349.3,  349.7,  349.3
74,  210.0 , 12183,  -49.4,  -56.4,     44,   0.09,    270,     23,  349.4,  349.8,  349.5
75,  200.0 , 12500,  -52.1,  -59.1,     43,   0.07,    275,     21,  350.1,  350.4,  350.1
76,  194.0 , 12697,  -54.1,  -61.1,     42,   0.05,    272,     22,  350.0,  350.2,  350.0
77,  180.0 , 13174,  -57.9,  -74.9,     10,   0.01,    263,     23,  351.3,  351.4,  351.3
78,  175.0 , 13351,  -59.4,  -72.7,     16,   0.01,    260,     23,  351.8,  351.8,  351.8
79,  168.0 , 13606,  -61.5,  -69.5,     34,   0.02,    263,     25,  352.3,  352.4,  352.3
80,  150.0 , 14300,  -67.7,  -75.7,     31,   0.01,    270,     31,  353.3,  353.3,  353.3
81,  126.0 , 15321,  -76.6,  -81.1,     49,   0.00,    285,     37,  355.1,  355.2,  355.1
82,  122.0 , 15510,  -78.3,  -82.1,     54,   0.00,    293,     33,  355.4,  355.4,  355.4
83,  109.0 , 16146,  -81.0,  -84.3,     57,   0.00,    320,     19,  361.9,  362.0,  362.0
84,  105.0 , 16357,  -81.9,  -85.1,     58,   0.00,    297,     12,  364.1,  364.1,  364.1
85,  102.0 , 16519,  -81.9,  -84.9,     61,   0.00,    280,      6,  367.2,  367.2,  367.2
86,  101.0 , 16574,  -81.9,  -84.8,     61,   0.00,    282,      6,  368.2,  368.2,  368.2
87,  100.0 , 16630,  -81.9,  -84.7,     63,   0.00,    285,      6,  369.2,  369.3,  369.2
88,   96.0 , 16858,  -82.3,  -84.9,     64,   0.00,    295,      4,  372.8,  372.8,  372.8
89,   90.0 , 17218,  -82.9,  -85.3,     67,   0.00,     30,     12,  378.5,  378.6,  378.5
90,   84.0 , 17603,  -83.6,  -85.6,     70,   0.00,    105,     14,  384.7,  384.8,  384.7
91,   82.8 , 17684,  -83.7,  -85.7,     71,   0.00,    111,     14,  386.0,  386.1,  386.0
92,   81.2 , 17792,  -83.5,  -85.5,     71,   0.00,    119,     15,  388.6,  388.6,  388.6
