,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,93,,,,,,,,,
1,939.0,614,23.4,22.4,94,18.55,70,8,301.9,356.9,305.3
2,934.0,673,21.8,21.8,100,17.96,72,9,300.8,353.7,304.0
3,925.0,779,21.4,21.4,100,17.69,75,12,301.2,353.4,304.4
4,871.0,1300,18.8,18.6,98,15.70,80,19,303.7,350.6,306.6
5,850.0,1511,17.8,17.4,98,14.94,85,19,304.8,349.6,307.5
6,828.0,1736,17.0,16.9,99,14.85,89,18,306.2,351.0,308.9
7,764.0,2422,15.0,11.1,77,10.98,99,15,311.2,345.1,313.2
8,707.0,3074,10.8,7.8,82,9.49,110,12,313.5,343.2,315.2
9,700.0,3158,10.2,7.4,83,9.31,110,12,313.8,343.0,315.5
10,698.0,3182,10.0,7.6,85,9.47,109,12,313.8,343.5,315.6
11,690.0,3278,9.8,5.2,73,8.10,107,11,314.6,340.2,316.1
12,664.0,3596,7.6,5.6,87,8.66,98,10,315.6,343.0,317.2
13,649.0,3784,6.4,0.4,65,6.11,92,10,316.3,336.0,317.5
14,643.0,3860,5.8,1.2,73,6.54,90,10,316.4,337.4,317.7
15,628.0,4053,4.2,3.3,94,7.79,95,10,316.8,341.6,318.3
16,591.0,4546,2.2,-0.2,84,6.42,108,11,320.0,340.9,321.2
17,586.0,4614,1.5,-0.4,87,6.40,110,12,320.0,340.8,321.2
18,572.0,4808,-0.5,-0.8,98,6.35,105,12,319.8,340.5,321.1
19,551.0,5108,0.0,-6.0,64,4.46,97,13,323.9,338.9,324.7
20,530.0,5418,-1.3,-5.8,71,4.71,88,15,325.9,341.8,326.9
21,511.0,5708,-3.3,-7.1,75,4.41,80,16,326.9,341.9,327.8
22,500.0,5880,-4.5,-7.9,77,4.24,85,14,327.5,342.0,328.3
23,485.0,6119,-6.2,-9.2,79,3.96,90,14,328.3,341.9,329.1
24,455.0,6620,-9.7,-11.8,85,3.42,67,14,329.9,341.8,330.6
25,445.0,6792,-9.9,-15.9,62,2.50,59,14,331.8,340.7,332.3
26,431.0,7039,-12.1,-19.1,56,1.97,47,15,332.0,339.1,332.4
27,425.0,7147,-12.1,-25.1,33,1.18,42,15,333.4,337.8,333.6
28,413.0,7366,-13.9,-19.9,60,1.92,32,15,333.8,340.8,334.2
29,410.0,7422,-13.9,-23.9,43,1.36,29,15,334.5,339.5,334.7
30,400.0,7610,-15.3,-27.3,35,1.02,20,16,335.0,338.9,335.2
31,393.0,7742,-16.3,-38.3,13,0.36,16,17,335.4,336.9,335.5
32,391.0,7780,-16.6,-38.1,14,0.37,15,17,335.5,337.0,335.6
33,377.0,8052,-18.7,-36.7,19,0.44,1,13,336.2,338.0,336.3
34,371.0,8171,-19.1,-51.7,4,0.09,355,12,337.2,337.6,337.3
35,368.0,8231,-19.3,-59.3,2,0.04,348,10,337.8,337.9,337.8
36,353.0,8537,-21.6,-53.6,4,0.07,310,4,338.6,339.0,338.7
37,344.0,8726,-23.1,-50.1,7,0.11,335,2,339.2,339.7,339.2
38,339.0,8833,-23.9,-34.9,36,0.58,349,1,339.5,341.8,339.6
39,335.0,8919,-24.7,-34.2,41,0.63,0,0,339.6,342.1,339.7
40,331.0,9006,-25.5,-33.5,47,0.69,350,2,339.6,342.4,339.8
41,323.0,9182,-26.3,-54.3,5,0.07,328,5,340.9,341.3,340.9
42,318.0,9294,-27.1,-51.0,8,0.11,315,8,341.3,341.8,341.3
43,311.0,9454,-28.3,-46.3,16,0.19,306,8,341.8,342.7,341.9
44,307.0,9546,-28.7,-38.7,38,0.44,300,8,342.6,344.3,342.6
45,303.0,9639,-29.1,-42.1,27,0.31,295,8,343.3,344.6,343.3
46,300.0,9710,-29.9,-52.9,9,0.09,300,8,343.1,343.5,343.1
47,298.0,9758,-30.3,-57.3,5,0.06,302,8,343.2,343.5,343.2
48,287.0,10019,-32.5,-57.8,6,0.05,315,12,343.8,344.1,343.8
49,250.0,10980,-40.5,-59.5,11,0.05,275,16,345.7,345.9,345.7
50,220.0,11843,-47.1,-79.1,1,0.00,251,21,348.4,348.4,348.4
