,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,77,,,,,,,,,
1,937.0,614,24.4,23.7,96,20.16,300,2,303.1,363.3,306.8
2,925.0,766,23.0,21.5,91,17.80,280,6,302.8,355.8,306.0
3,914.0,871,22.2,21.3,95,17.80,278,6,303.0,356.0,306.3
4,872.0,1279,19.0,16.7,87,13.91,269,9,303.8,345.4,306.3
5,856.0,1438,18.4,16.6,89,14.11,265,10,304.8,347.1,307.4
6,850.0,1499,18.2,16.6,90,14.18,270,10,305.2,347.8,307.8
7,843.0,1570,18.0,15.4,85,13.22,273,9,305.7,345.6,308.1
8,821.0,1798,19.2,13.2,68,11.75,283,5,309.3,345.3,311.5
9,817.0,1839,18.9,13.0,69,11.64,285,4,309.4,345.1,311.6
10,781.0,2224,16.1,11.1,72,10.71,275,2,310.4,343.4,312.4
11,753.0,2536,13.8,9.5,75,9.99,127,4,311.2,342.2,313.1
12,748.0,2592,13.7,8.3,70,9.28,100,4,311.6,340.5,313.4
13,726.0,2844,13.0,3.0,51,6.58,82,5,313.6,334.5,314.8
14,717.0,2949,12.4,3.4,54,6.87,75,6,314.0,335.8,315.3
15,700.0,3150,11.2,4.2,62,7.44,70,6,314.9,338.5,316.3
16,695.0,3210,10.8,3.8,62,7.28,70,6,315.1,338.2,316.4
17,669.0,3528,10.8,-3.2,37,4.54,72,8,318.5,333.4,319.4
18,658.0,3666,9.8,-1.2,46,5.36,73,8,318.9,336.4,319.9
19,638.0,3919,8.4,-4.2,41,4.42,75,10,320.1,334.8,321.0
20,585.0,4632,4.4,-12.6,28,2.49,35,8,323.5,332.1,324.0
21,537.0,5320,-0.1,-16.4,28,1.99,25,6,326.1,333.1,326.5
22,517.0,5625,-2.1,-18.1,28,1.79,8,6,327.3,333.7,327.6
23,514.0,5672,-2.6,-14.6,39,2.41,5,6,327.2,335.7,327.7
24,511.0,5718,-3.1,-11.1,54,3.22,5,7,327.1,338.3,327.8
25,505.0,5811,-3.5,-15.5,39,2.28,5,8,327.8,335.8,328.2
26,500.0,5890,-4.1,-14.1,46,2.58,5,10,328.0,337.0,328.5
27,491.0,6033,-4.5,-14.5,46,2.55,6,10,329.2,338.2,329.7
28,488.0,6082,-4.3,-18.3,33,1.86,6,10,330.0,336.7,330.4
29,483.0,6163,-4.9,-15.9,42,2.30,7,10,330.2,338.5,330.7
30,478.0,6245,-5.1,-21.1,27,1.49,8,10,331.0,336.4,331.3
31,475.0,6294,-5.5,-16.5,42,2.23,8,10,331.1,339.1,331.5
32,472.0,6344,-5.3,-24.3,21,1.14,8,10,331.9,336.2,332.2
