,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    74,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  936.0 ,   614,   21.8,   21.3,     97,  17.37,    220,      2,  300.6,  351.7,  303.7
2,  925.0 ,   757,   20.8,   19.1,     90,  15.29,    230,      6,  300.6,  345.6,  303.3
3,  923.0 ,   776,   20.6,   19.1,     91,  15.32,    230,      6,  300.6,  345.7,  303.3
4,  857.0 ,  1416,   17.9,   16.5,     91,  13.96,    230,      8,  304.2,  346.0,  306.7
5,  850.0 ,  1487,   17.6,   16.2,     92,  13.82,    225,     10,  304.6,  346.0,  307.1
6,  786.0 ,  2155,   15.3,   12.5,     84,  11.74,    195,     12,  309.0,  344.9,  311.1
7,  779.0 ,  2232,   15.0,   12.1,     83,  11.51,    186,     11,  309.5,  344.8,  311.6
8,  752.0 ,  2529,   13.4,   10.7,     84,  10.87,    150,      8,  310.9,  344.5,  312.9
9,  700.0 ,  3132,   10.2,    7.9,     86,   9.64,    145,     12,  313.8,  344.0,  315.6
10,  658.0 ,  3645,    7.0,    6.0,     93,   8.99,    139,     14,  315.7,  344.2,  317.4
11,  631.0 ,  3989,    6.1,    3.4,     83,   7.80,    135,     16,  318.5,  343.6,  320.0
12,  617.0 ,  4173,    5.6,    2.0,     78,   7.22,    127,     18,  320.0,  343.4,  321.4
13,  574.0 ,  4756,    1.8,   -0.8,     83,   6.34,    100,     25,  322.2,  343.1,  323.4
14,  529.0 ,  5414,   -2.5,   -3.9,     90,   5.45,    100,     24,  324.6,  342.9,  325.7
15,  500.0 ,  5860,   -4.3,   -7.2,     80,   4.48,    100,     23,  327.7,  343.0,  328.6
16,  480.0 ,  6181,   -6.3,   -8.3,     86,   4.28,    102,     22,  329.1,  343.8,  330.0
17,  470.0 ,  6346,   -6.1,  -10.5,     71,   3.68,    103,     21,  331.3,  344.2,  332.1
18,  448.0 ,  6720,   -9.1,  -10.9,     87,   3.74,    105,     19,  332.1,  345.2,  332.9
19,  407.0 ,  7458,  -12.9,  -17.5,     68,   2.39,    109,     14,  336.5,  345.1,  336.9
20,  400.0 ,  7590,  -13.9,  -18.2,     70,   2.29,    110,     14,  336.8,  345.2,  337.3
21,  377.0 ,  8038,  -17.5,  -20.1,     80,   2.07,    113,     12,  337.8,  345.4,  338.2
22,  361.0 ,  8362,  -19.6,  -23.0,     75,   1.67,    115,     12,  339.2,  345.4,  339.5
23,  352.0 ,  8551,  -20.9,  -24.7,     71,   1.48,    112,     11,  339.9,  345.5,  340.2
24,  335.0 ,  8917,  -22.7,  -31.7,     44,   0.81,    105,     10,  342.3,  345.5,  342.5
25,  325.0 ,  9139,  -24.3,  -30.3,     58,   0.95,    101,      9,  343.1,  346.8,  343.3
26,  300.0 ,  9720,  -28.1,  -38.1,     38,   0.48,     90,      8,  345.7,  347.6,  345.8
27,  299.0 ,  9744,  -28.3,  -39.3,     34,   0.43,     90,      8,  345.7,  347.5,  345.8
28,  280.0 , 10211,  -32.5,  -40.5,     45,   0.40,       ,       ,  346.2,  347.9,  346.3
29,  279.0 , 10236,  -32.7,  -40.7,     45,   0.39,       ,       ,  346.3,  347.9,  346.4
