,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    40,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  933.0 ,   614,   22.0,   22.0,    100,  18.21,    300,      6,  301.1,  354.8,  304.3
2,  925.0 ,   724,   21.6,   21.3,     98,  17.58,    270,     12,  301.4,  353.4,  304.6
3,  924.0 ,   733,   21.6,   21.3,     98,  17.60,    269,     13,  301.5,  353.5,  304.6
4,  904.0 ,   923,   20.8,   20.4,     98,  16.95,    250,     35,  302.5,  352.9,  305.6
5,  876.0 ,  1195,   19.6,   19.0,     97,  16.06,    250,     41,  304.0,  352.0,  306.9
6,  850.0 ,  1456,   18.4,   17.7,     96,  15.23,    255,     41,  305.4,  351.2,  308.2
7,  714.0 ,  2937,   10.6,    8.2,     85,   9.65,    255,     41,  312.4,  342.5,  314.2
8,  700.0 ,  3103,   10.4,    6.2,     75,   8.57,    255,     41,  314.0,  340.9,  315.6
9,  684.0 ,  3296,   11.4,    7.2,     75,   9.40,    258,     41,  317.2,  347.1,  319.0
10,  677.0 ,  3382,   10.8,    6.5,     75,   9.03,    260,     41,  317.4,  346.2,  319.1
11,  652.0 ,  3695,    8.4,    3.8,     73,   7.77,    279,     32,  318.1,  343.1,  319.6
12,  638.0 ,  3874,    8.3,    2.7,     68,   7.36,    290,     27,  320.0,  343.8,  321.4
13,  631.0 ,  3966,    8.2,    2.2,     66,   7.16,    290,     25,  320.9,  344.2,  322.3
14,  597.0 ,  4418,    4.6,    0.9,     77,   6.87,    290,     14,  321.8,  344.3,  323.1
15,  576.0 ,  4711,    2.2,    0.0,     85,   6.69,    267,      5,  322.4,  344.3,  323.7
16,  574.0 ,  4739,    1.6,   -0.3,     87,   6.56,    265,      4,  322.0,  343.5,  323.3
17,  569.0 ,  4810,    0.2,   -1.1,     91,   6.25,    259,      4,  321.1,  341.6,  322.4
18,  539.0 ,  5241,   -1.4,   -2.4,     93,   5.99,    225,      6,  324.3,  344.2,  325.5
19,  519.0 ,  5543,   -2.4,   -3.3,     94,   5.81,    220,      8,  326.5,  346.0,  327.7
20,  500.0 ,  5840,   -3.5,   -4.2,     95,   5.64,    245,      8,  328.7,  347.8,  329.8
21,  474.0 ,  6262,   -5.1,   -6.4,     91,   5.03,    222,     12,  331.8,  349.1,  332.8
22,  466.0 ,  6394,   -5.8,   -7.2,     90,   4.80,    215,     14,  332.5,  349.1,  333.5
23,  416.0 ,  7275,  -10.6,  -12.8,     84,   3.46,    215,     12,  337.3,  349.6,  338.0
24,  400.0 ,  7580,  -12.3,  -14.7,     82,   3.08,    245,     14,  338.9,  350.0,  339.5
25,  398.0 ,  7618,  -12.5,  -15.0,     82,   3.03,    245,     14,  339.1,  350.1,  339.7
26,  367.0 ,  8234,  -16.2,  -19.1,     78,   2.31,    265,     17,  342.2,  350.8,  342.7
27,  353.0 ,  8529,  -17.9,  -21.1,     76,   2.02,    261,     20,  343.7,  351.3,  344.1
28,  336.0 ,  8893,  -20.4,  -24.0,     73,   1.65,    255,     23,  345.2,  351.5,  345.5
29,  300.0 ,  9730,  -26.1,  -30.6,     66,   1.00,    260,     21,  348.5,  352.5,  348.7
30,  290.0 ,  9970,  -27.9,  -32.5,     65,   0.86,    260,     21,  349.3,  352.8,  349.5
31,  250.0 , 11020,  -35.9,  -40.9,     60,   0.43,    240,     14,  352.6,  354.4,  352.6
