,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    83,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  938.0 ,   614,   23.8,   22.4,     92,  18.57,    300,      4,  302.4,  357.6,  305.8
2,  925.0 ,   770,   22.2,   21.2,     94,  17.47,    300,      6,  302.0,  353.8,  305.1
3,  919.0 ,   827,   21.8,   21.1,     96,  17.47,    300,      7,  302.1,  354.0,  305.3
4,  907.0 ,   941,   20.2,   18.8,     92,  15.30,    300,     10,  301.6,  346.9,  304.4
5,  902.0 ,   989,   20.1,   18.6,     91,  15.15,    300,     12,  302.0,  347.0,  304.8
6,  850.0 ,  1503,   19.2,   16.0,     82,  13.64,    260,      6,  306.2,  347.4,  308.8
7,  845.0 ,  1554,   19.4,   14.6,     74,  12.52,    257,      5,  307.0,  344.9,  309.3
8,  835.0 ,  1656,   18.6,   14.1,     75,  12.23,    250,      4,  307.2,  344.4,  309.5
9,  803.0 ,  1991,   16.2,   12.3,     78,  11.31,    213,      5,  308.1,  342.6,  310.2
10,  771.0 ,  2335,   14.7,   10.1,     74,  10.19,    175,      6,  310.0,  341.4,  311.9
11,  708.0 ,  3055,   11.4,    5.6,     67,   8.12,    190,      6,  314.1,  339.7,  315.6
12,  700.0 ,  3151,   11.0,    5.0,     66,   7.87,    185,      6,  314.6,  339.6,  316.1
13,  679.0 ,  3404,   10.2,    3.1,     62,   7.11,    180,      2,  316.5,  339.2,  317.8
14,  660.0 ,  3640,    9.4,    1.4,     57,   6.46,    146,      3,  318.2,  339.1,  319.4
15,  651.0 ,  3751,    8.7,    0.9,     58,   6.29,    130,      4,  318.6,  339.0,  319.8
16,  624.0 ,  4095,    6.5,   -0.8,     60,   5.81,    150,      2,  319.9,  338.9,  321.1
17,  571.0 ,  4814,    1.8,   -4.3,     64,   4.88,    115,      6,  322.7,  339.0,  323.6
18,  524.0 ,  5509,   -2.7,   -7.8,     68,   4.10,    120,      6,  325.3,  339.2,  326.1
19,  522.0 ,  5540,   -2.9,   -7.9,     68,   4.06,    120,      6,  325.4,  339.2,  326.2
20,  519.0 ,  5586,   -3.3,   -6.7,     77,   4.49,    119,      6,  325.5,  340.6,  326.4
21,  504.0 ,  5817,   -4.4,   -9.1,     70,   3.84,    115,      8,  326.9,  340.0,  327.6
22,  500.0 ,  5880,   -4.7,   -9.7,     68,   3.68,    120,      8,  327.2,  339.9,  328.0
23,  489.0 ,  6055,   -5.7,  -11.7,     63,   3.21,    130,      9,  328.1,  339.2,  328.7
24,  483.0 ,  6151,   -6.5,  -10.6,     72,   3.54,    135,     10,  328.3,  340.5,  329.0
25,  480.0 ,  6200,   -6.9,  -10.1,     78,   3.72,    128,     10,  328.4,  341.2,  329.1
26,  466.0 ,  6431,   -7.9,  -16.9,     48,   2.20,     97,     10,  329.9,  337.8,  330.4
27,  463.0 ,  6481,   -8.3,  -16.9,     50,   2.22,     90,     10,  330.0,  337.9,  330.5
28,  453.0 ,  6650,   -9.7,  -16.7,     57,   2.30,     91,     11,  330.3,  338.5,  330.8
29,  448.0 ,  6735,  -10.1,  -21.1,     40,   1.59,     91,     11,  330.9,  336.7,  331.2
30,  435.0 ,  6961,  -11.3,  -18.3,     56,   2.09,     92,     13,  332.2,  339.7,  332.6
31,  429.0 ,  7068,  -11.9,  -22.9,     40,   1.42,     93,     14,  332.7,  338.0,  333.0
32,  400.0 ,  7600,  -14.9,  -24.9,     42,   1.28,     95,     17,  335.5,  340.3,  335.8
33,  398.0 ,  7638,  -15.3,  -25.3,     42,   1.24,     95,     18,  335.5,  340.1,  335.8
34,  391.0 ,  7772,  -15.9,  -28.3,     34,   0.96,     95,     19,  336.4,  340.0,  336.6
35,  383.0 ,  7928,  -16.7,  -31.7,     26,   0.71,     93,     21,  337.4,  340.1,  337.5
36,  370.0 ,  8187,  -18.7,  -28.7,     41,   0.97,     88,     23,  338.0,  341.8,  338.2
37,  366.0 ,  8268,  -18.7,  -32.7,     28,   0.67,     87,     23,  339.1,  341.7,  339.2
38,  357.0 ,  8454,  -19.7,  -30.7,     37,   0.83,     84,     25,  340.2,  343.4,  340.4
39,  347.0 ,  8664,  -21.5,  -37.5,     22,   0.44,     81,     26,  340.5,  342.3,  340.6
40,  337.0 ,  8879,  -23.3,  -32.3,     43,   0.76,     77,     28,  340.9,  343.9,  341.1
41,  331.0 ,  9010,  -24.5,  -32.6,     47,   0.75,     75,     29,  341.1,  344.0,  341.2
42,  311.0 ,  9462,  -28.5,  -33.5,     62,   0.73,     75,     30,  341.6,  344.4,  341.7
43,  300.0 ,  9720,  -29.9,  -35.9,     56,   0.60,     75,     31,  343.1,  345.5,  343.2
44,  271.0 , 10441,  -34.3,  -44.3,     36,   0.28,     71,     30,  346.8,  348.0,  346.9
45,  260.0 , 10728,  -37.4,  -44.7,     46,   0.28,     70,     29,  346.4,  347.6,  346.5
46,  250.0 , 11000,  -40.3,  -45.1,     60,   0.27,      0,      0,  346.0,  347.2,  346.1
47,  248.0 , 11055,  -40.5,  -45.3,     60,   0.27,       ,       ,  346.5,  347.7,  346.6
