,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   124,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  942.0 ,   614,   21.4,   21.1,     98,  17.04,     40,     12,  299.6,  349.6,  302.7
2,  925.0 ,   804,   20.4,   20.3,     99,  16.50,     45,     17,  300.2,  348.7,  303.1
3,  857.0 ,  1464,   18.2,   17.2,     94,  14.65,     55,     37,  304.5,  348.4,  307.2
4,  850.0 ,  1535,   18.0,   16.9,     93,  14.46,     55,     37,  305.0,  348.4,  307.6
5,  818.0 ,  1864,   16.4,   15.2,     93,  13.46,     64,     34,  306.7,  347.4,  309.1
6,  765.0 ,  2436,   15.8,   12.3,     80,  11.89,     79,     30,  311.9,  348.8,  314.2
7,  716.0 ,  2996,   11.2,    9.4,     89,  10.45,     95,     25,  312.8,  345.4,  314.8
8,  700.0 ,  3185,   10.6,    8.2,     85,   9.84,    100,     23,  314.2,  345.1,  316.1
9,  670.0 ,  3549,    8.0,    6.3,     89,   9.03,    105,     19,  315.3,  343.8,  317.0
10,  665.0 ,  3611,    7.6,    6.0,     90,   8.90,    107,     20,  315.5,  343.6,  317.1
11,  644.0 ,  3876,    6.6,    2.1,     73,   6.96,    114,     21,  317.2,  339.6,  318.6
12,  612.0 ,  4290,    3.8,    0.7,     80,   6.62,    125,     23,  318.6,  340.1,  319.9
13,  582.0 ,  4699,    1.0,   -0.7,     88,   6.29,    124,     23,  320.0,  340.5,  321.2
14,  552.0 ,  5124,   -0.7,   -3.9,     79,   5.22,    122,     22,  322.9,  340.2,  323.9
15,  546.0 ,  5211,   -0.9,   -7.9,     59,   3.88,    122,     22,  323.6,  336.8,  324.4
16,  537.0 ,  5344,   -1.7,   -5.0,     78,   4.94,    121,     22,  324.2,  340.8,  325.2
17,  520.0 ,  5600,   -2.7,   -8.7,     63,   3.83,    121,     22,  326.0,  339.1,  326.8
18,  509.0 ,  5769,   -3.6,   -9.0,     66,   3.82,    120,     21,  326.9,  340.0,  327.7
19,  500.0 ,  5910,   -4.3,   -9.3,     68,   3.80,    115,     19,  327.7,  340.8,  328.5
20,  462.0 ,  6527,   -9.2,  -10.3,     92,   3.79,     90,     21,  329.1,  342.1,  329.8
21,  460.0 ,  6560,   -9.5,  -10.4,     93,   3.79,     91,     21,  329.1,  342.2,  329.9
22,  415.0 ,  7351,  -12.7,  -17.0,     70,   2.45,    109,     20,  334.9,  343.7,  335.4
23,  400.0 ,  7630,  -14.9,  -17.8,     79,   2.37,    115,     19,  335.5,  344.1,  336.0
24,  384.0 ,  7936,  -17.2,  -19.4,     83,   2.17,    120,     21,  336.4,  344.3,  336.9
25,  361.0 ,  8399,  -20.7,  -21.7,     92,   1.88,    117,     19,  337.8,  344.7,  338.1
26,  334.0 ,  8972,  -23.9,  -25.3,     88,   1.47,    114,     17,  341.0,  346.5,  341.3
27,  313.0 ,  9445,  -26.5,  -31.5,     63,   0.88,    112,     15,  343.7,  347.2,  343.9
28,  301.0 ,  9726,  -29.1,  -33.2,     67,   0.77,    110,     14,  343.9,  347.0,  344.1
