,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   107,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  940.0 ,   614,   20.6,   19.4,     93,  15.33,     50,      6,  299.0,  343.8,  301.7
2,  925.0 ,   786,   19.8,   17.1,     84,  13.44,     45,     12,  299.6,  339.0,  302.0
3,  878.0 ,  1235,   17.0,   15.8,     93,  13.02,     45,     21,  301.1,  339.7,  303.5
4,  867.0 ,  1343,   16.9,   15.2,     90,  12.70,     45,     23,  302.1,  339.9,  304.4
5,  850.0 ,  1512,   16.8,   14.3,     85,  12.20,     50,     19,  303.7,  340.2,  306.0
6,  832.0 ,  1695,   17.1,   13.2,     78,  11.62,     55,     16,  305.9,  341.1,  308.1
7,  818.0 ,  1840,   17.4,   12.4,     72,  11.18,     70,     13,  307.7,  341.8,  309.8
8,  794.0 ,  2092,   15.4,   10.7,     73,  10.28,     95,      8,  308.3,  339.7,  310.2
9,  727.0 ,  2836,    9.7,    5.7,     76,   7.95,     85,      6,  309.8,  334.5,  311.3
10,  726.0 ,  2847,    9.6,    5.6,     76,   7.92,     81,      6,  309.8,  334.4,  311.3
11,  700.0 ,  3150,    9.2,   -2.8,     43,   4.47,    330,      2,  312.6,  327.0,  313.5
12,  698.0 ,  3174,    9.1,   -2.5,     44,   4.57,    320,      2,  312.8,  327.5,  313.6
13,  679.0 ,  3402,    8.0,    0.0,     57,   5.67,    300,      6,  314.0,  332.2,  315.1
14,  675.0 ,  3450,    8.2,   -6.8,     34,   3.42,    296,      7,  314.8,  326.0,  315.4
15,  669.0 ,  3524,    7.8,   -6.5,     36,   3.53,    290,      8,  315.1,  326.7,  315.8
16,  658.0 ,  3660,    7.0,   -6.0,     39,   3.73,    290,     10,  315.7,  328.0,  316.4
17,  655.0 ,  3698,    7.2,  -13.8,     21,   2.02,    290,     10,  316.4,  323.3,  316.8
18,  650.0 ,  3760,    6.4,   -3.6,     49,   4.53,    290,     11,  316.2,  330.9,  317.0
19,  633.0 ,  3977,    5.2,   -8.8,     36,   3.12,    290,     14,  317.2,  327.6,  317.8
20,  612.0 ,  4250,    3.0,   -9.2,     40,   3.14,    290,     17,  317.7,  328.2,  318.3
21,  599.0 ,  4424,    1.6,   -9.4,     44,   3.15,    290,     16,  318.1,  328.6,  318.7
22,  587.0 ,  4586,    0.1,   -4.8,     70,   4.59,    290,     16,  318.2,  333.3,  319.1
23,  586.0 ,  4600,    0.0,   -4.4,     72,   4.74,    289,     16,  318.2,  333.7,  319.1
24,  583.0 ,  4641,   -0.1,   -5.0,     70,   4.55,    286,     16,  318.6,  333.5,  319.4
25,  582.0 ,  4655,    0.6,   -9.4,     47,   3.24,    285,     16,  319.5,  330.4,  320.2
26,  581.0 ,  4669,    0.4,   -7.6,     55,   3.74,    284,     16,  319.5,  331.9,  320.2
27,  578.0 ,  4710,    1.0,  -18.0,     23,   1.61,    281,     16,  320.6,  326.3,  320.9
28,  571.0 ,  4808,    1.0,  -28.0,      9,   0.67,    273,     16,  321.8,  324.2,  321.9
29,  563.0 ,  4921,    0.1,  -21.7,     18,   1.21,    265,     16,  321.9,  326.3,  322.2
30,  560.0 ,  4964,   -0.3,  -19.3,     22,   1.49,    267,     16,  322.0,  327.3,  322.3
31,  543.0 ,  5209,   -0.9,  -25.9,     13,   0.86,    276,     16,  324.1,  327.3,  324.3
32,  532.0 ,  5372,   -2.3,  -25.3,     15,   0.92,    282,     17,  324.4,  327.8,  324.6
33,  523.0 ,  5507,   -3.5,  -15.5,     39,   2.20,    287,     17,  324.5,  332.2,  324.9
34,  518.0 ,  5582,   -3.9,  -21.3,     24,   1.36,    290,     17,  325.0,  329.9,  325.2
35,  512.0 ,  5674,   -4.3,  -28.3,     13,   0.73,    287,     17,  325.5,  328.2,  325.7
36,  506.0 ,  5767,   -5.3,  -20.3,     30,   1.51,    283,     16,  325.4,  330.8,  325.7
37,  500.0 ,  5860,   -5.5,  -33.5,      9,   0.46,    280,     16,  326.3,  328.0,  326.4
38,  482.0 ,  6147,   -7.3,  -19.3,     38,   1.73,    280,     14,  327.5,  333.7,  327.8
39,  476.0 ,  6244,   -8.2,  -20.2,     37,   1.63,    280,     14,  327.6,  333.4,  327.9
40,  463.0 ,  6459,  -10.1,  -22.1,     37,   1.41,    262,     12,  327.8,  332.9,  328.1
41,  457.0 ,  6560,  -10.3,  -37.3,      9,   0.34,    253,     12,  328.8,  330.1,  328.8
42,  455.0 ,  6594,  -10.4,  -37.4,      9,   0.34,    250,     12,  329.1,  330.4,  329.1
43,  434.0 ,  6957,  -11.3,  -38.3,      9,   0.32,    259,     15,  332.4,  333.7,  332.4
44,  428.0 ,  7064,  -12.3,  -29.3,     23,   0.79,    262,     15,  332.4,  335.4,  332.6
45,  405.0 ,  7486,  -13.7,  -37.7,     11,   0.37,    273,     19,  335.9,  337.4,  336.0
46,  400.0 ,  7580,  -14.5,  -35.5,     15,   0.47,    275,     19,  336.1,  337.9,  336.1
47,  386.0 ,  7849,  -17.3,  -33.3,     24,   0.60,    279,     23,  335.8,  338.2,  335.9
48,  383.0 ,  7907,  -17.5,  -34.9,     20,   0.52,    280,     23,  336.4,  338.4,  336.4
49,  358.0 ,  8412,  -18.9,  -48.9,      5,   0.13,    274,     23,  341.0,  341.5,  341.0
50,  324.0 ,  9139,  -25.3,  -50.2,      8,   0.12,    265,     21,  342.0,  342.5,  342.0
51,  300.0 ,  9700,  -30.3,  -51.3,     11,   0.11,    270,     19,  342.6,  343.1,  342.6
52,  272.0 , 10380,  -36.6,  -56.9,     10,   0.06,    280,     19,  343.2,  343.5,  343.2
53,  259.0 , 10720,  -39.7,  -59.7,     10,   0.05,    292,     22,  343.4,  343.6,  343.4
54,  250.0 , 10960,  -41.3,  -59.3,     13,   0.05,    300,     23,  344.5,  344.8,  344.5
55,  238.0 , 11292,  -43.3,  -66.9,      6,   0.02,    305,     23,  346.4,  346.5,  346.4
56,  219.0 , 11853,  -46.7,  -79.7,      1,   0.00,    305,     18,  349.5,  349.5,  349.5
57,  206.0 , 12255,  -50.3,  -77.3,      3,   0.01,    305,     14,  349.9,  349.9,  349.9
58,  200.0 , 12450,  -52.1,  -76.1,      4,   0.01,    305,     12,  350.1,  350.1,  350.1
59,  176.0 , 13245,  -59.0,  -77.7,      7,   0.01,    290,     16,  351.7,  351.8,  351.7
60,  156.0 , 13996,  -65.6,  -79.2,     13,   0.00,    230,     16,  352.9,  353.0,  352.9
61,  150.0 , 14240,  -67.7,  -79.7,     17,   0.00,    230,     16,  353.3,  353.3,  353.3
62,  148.0 , 14320,  -68.4,  -80.0,     17,   0.00,    225,     16,  353.4,  353.4,  353.4
63,  140.0 , 14650,  -71.5,  -81.5,     21,   0.00,    229,     12,  353.6,  353.7,  353.6
64,  139.0 , 14691,  -71.8,  -81.6,     22,   0.00,    230,     12,  353.9,  353.9,  353.9
65,  124.0 , 15343,  -76.0,  -83.5,     30,   0.00,    290,      8,  357.9,  357.9,  357.9
66,  104.0 , 16348,  -82.6,  -86.3,     53,   0.00,    280,     12,  363.8,  363.8,  363.8
67,  101.0 , 16515,  -83.7,  -86.8,     59,   0.00,    295,     12,  364.7,  364.7,  364.7
68,  100.0 , 16570,  -83.7,  -87.1,     56,   0.00,    300,     12,  365.8,  365.8,  365.8
69,   95.0 , 16857,  -81.1,  -86.1,     43,   0.00,    331,     10,  376.3,  376.3,  376.3
70,   92.0 , 17037,  -81.7,  -86.3,     46,   0.00,    350,     10,  378.5,  378.5,  378.5
71,   87.0 , 17350,  -82.8,  -86.8,     51,   0.00,    195,      4,  382.4,  382.5,  382.4
72,   82.1 , 17674,  -83.9,  -87.2,     57,   0.00,    239,      6,  386.6,  386.6,  386.6
73,   82.0 , 17681,  -83.8,  -87.2,     56,   0.00,    240,      6,  386.9,  386.9,  386.9
74,   77.7 , 17984,  -79.1,  -86.1,     31,   0.00,    304,     16,  402.7,  402.7,  402.7
75,   77.0 , 18036,  -79.1,  -86.1,     31,   0.00,    315,     17,  403.6,  403.7,  403.6
76,   72.6 , 18371,  -79.3,  -86.3,     31,   0.00,    303,     13,  410.1,  410.1,  410.1
77,   70.0 , 18580,  -76.7,  -85.7,     23,   0.00,    295,     10,  420.0,  420.0,  420.0
78,   66.6 , 18868,  -72.3,  -84.3,     15,   0.00,    273,      9,  435.5,  435.6,  435.5
79,   61.0 , 19392,  -68.6,  -85.1,      8,   0.00,    235,      8,  454.7,  454.8,  454.7
80,   57.0 , 19797,  -65.8,  -85.7,      5,   0.00,    270,      4,  470.0,  470.1,  470.0
81,   54.7 , 20043,  -64.1,  -86.1,      4,   0.00,    327,      7,  479.5,  479.6,  479.5
82,   54.0 , 20121,  -64.0,  -86.3,      3,   0.00,    345,      8,  481.4,  481.5,  481.4
83,   51.0 , 20469,  -63.8,  -87.3,      3,   0.00,     30,     14,  490.0,  490.0,  490.0
84,   50.0 , 20590,  -63.7,  -87.7,      3,   0.00,     35,     14,  492.9,  493.0,  492.9
85,   47.2 , 20945,  -62.3,  -87.3,      2,   0.00,     71,     13,  504.5,  504.5,  504.5
86,   45.0 , 21240,  -62.3,  -86.6,      3,   0.00,    100,     12,  511.4,  511.4,  511.4
87,   44.1 , 21364,  -62.3,  -86.3,      3,   0.01,     91,     12,  514.4,  514.4,  514.4
88,   42.1 , 21654,  -58.1,  -86.1,      2,   0.01,     71,     12,  531.6,  531.7,  531.6
89,   42.0 , 21669,  -58.1,  -86.1,      2,   0.01,     70,     12,  532.0,  532.0,  532.0
90,   35.0 , 22818,  -58.0,  -85.5,      2,   0.01,    100,     27,  560.7,  560.8,  560.7
91,   33.0 , 23189,  -58.0,  -85.2,      2,   0.01,     85,     29,  570.3,  570.4,  570.3
92,   31.0 , 23583,  -57.9,  -85.0,      2,   0.01,     95,     27,  580.7,  580.8,  580.7
93,   30.0 , 23790,  -57.9,  -84.9,      2,   0.01,     95,     25,  586.2,  586.3,  586.2
94,   29.2 , 23960,  -58.7,  -85.7,      2,   0.01,     92,     25,  588.6,  588.6,  588.6
95,   26.0 , 24697,  -55.6,  -84.4,      2,   0.01,     80,     23,  617.3,  617.4,  617.3
96,   24.1 , 25179,  -53.5,  -83.5,      1,   0.02,     81,     24,  636.8,  637.0,  636.8
97,   22.0 , 25763,  -55.7,  -84.7,      2,   0.01,     83,     25,  647.1,  647.2,  647.1
98,   20.0 , 26370,  -55.1,  -84.1,      2,   0.02,     85,     25,  666.8,  666.9,  666.8
99,   18.5 , 26870,  -53.3,  -83.3,      1,   0.02,       ,       ,  687.4,  687.6,  687.4
