,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,116,,,,,,,,,
1,941.0,614,20.6,18.9,90,14.83,350,4,298.9,342.3,301.6
2,925.0,794,19.0,17.6,92,13.88,15,8,298.7,339.3,301.2
3,850.0,1519,16.4,12.5,78,10.82,15,8,303.3,335.7,305.3
4,849.5,1524,16.4,12.4,78,10.79,0,6,303.3,335.7,305.3
5,761.5,2438,10.3,2.4,58,5.99,305,10,306.4,324.9,307.5
6,734.2,2743,8.2,-1.0,52,4.87,310,10,307.4,322.6,308.3
7,700.0,3141,5.6,-5.4,45,3.67,290,6,308.6,320.4,309.3
8,682.0,3353,5.0,-8.8,36,2.89,275,10,310.3,319.7,310.8
9,632.8,3962,3.2,-18.6,18,1.40,315,14,314.9,319.8,315.2
10,587.2,4572,1.4,-28.4,9,0.63,315,12,319.6,321.9,319.8
11,565.6,4877,0.5,-33.4,6,0.41,290,6,322.0,323.6,322.1
12,505.5,5791,-2.2,-48.1,2,0.10,350,25,329.2,329.6,329.2
13,500.0,5880,-2.5,-49.5,1,0.08,350,25,329.9,330.3,329.9
14,467.3,6401,-6.7,-51.3,1,0.07,350,29,331.1,331.4,331.1
15,415.1,7315,-14.2,-54.5,2,0.06,335,10,332.9,333.2,332.9
16,400.0,7600,-16.5,-55.5,2,0.05,315,12,333.5,333.7,333.5
17,382.7,7925,-18.7,-54.2,3,0.06,295,16,334.8,335.1,334.8
18,352.2,8534,-22.9,-51.7,5,0.09,215,14,337.2,337.6,337.2
19,324.1,9144,-27.0,-49.2,10,0.13,195,8,339.6,340.2,339.6
20,300.0,9710,-30.9,-46.9,19,0.19,190,14,341.7,342.5,341.8
21,250.2,10973,-40.0,-58.0,13,0.06,180,21,346.3,346.6,346.3
22,250.0,10980,-40.1,-58.1,13,0.06,185,19,346.3,346.6,346.3
23,218.2,11887,-47.3,-63.5,14,0.03,195,12,348.9,349.1,348.9
24,200.0,12470,-51.9,-66.9,15,0.02,185,23,350.4,350.5,350.4
25,150.0,14260,-67.3,-75.3,31,0.01,165,39,354.0,354.0,354.0
26,148.3,14326,-67.8,-75.6,32,0.01,165,43,354.3,354.3,354.3
27,100.0,16600,-84.5,-87.1,64,0.00,140,41,364.2,364.2,364.2
28,97.5,16740,-85.1,-87.1,71,0.00,140,42,365.7,365.7,365.7
29,97.1,16764,-85.1,-87.1,71,0.00,140,43,366.1,366.2,366.1
30,90.0,17181,-85.3,-87.2,72,0.00,125,27,373.8,373.8,373.8
31,89.1,17236,-85.3,-87.2,72,0.00,129,25,374.8,374.9,374.8
32,85.0,17500,-80.8,-85.9,42,0.00,150,14,389.1,389.1,389.1
33,83.9,17573,-79.5,-85.5,37,0.00,122,11,393.1,393.1,393.1
34,80.0,17842,-80.2,-85.6,40,0.00,20,2,397.1,397.1,397.1
35,77.1,18051,-80.7,-85.7,43,0.00,308,3,400.2,400.2,400.2
36,76.0,18133,-80.3,-85.7,40,0.00,280,4,402.7,402.8,402.7
37,71.0,18519,-78.3,-85.9,29,0.00,310,12,414.9,414.9,414.9
38,70.0,18600,-77.9,-85.9,27,0.00,315,10,417.4,417.4,417.4
39,67.0,18852,-76.9,-85.7,24,0.00,320,8,424.8,424.8,424.8
40,63.0,19207,-75.6,-85.5,20,0.00,280,10,435.3,435.3,435.3
41,60.0,19488,-74.5,-85.3,18,0.00,295,8,443.8,443.8,443.8
42,59.4,19546,-74.3,-85.3,17,0.00,286,9,445.5,445.6,445.5
43,56.0,19889,-74.0,-85.7,15,0.00,230,14,453.8,453.8,453.8
44,50.6,20480,-73.5,-86.5,12,0.00,261,24,468.3,468.3,468.3
45,50.0,20550,-72.9,-85.9,12,0.00,265,25,471.3,471.3,471.3
46,46.1,21035,-65.5,-85.5,5,0.01,284,26,500.2,500.2,500.2
47,44.0,21320,-65.0,-85.6,4,0.01,295,27,508.1,508.1,508.1
48,35.0,22722,-62.6,-86.0,3,0.01,300,21,548.8,548.9,548.8
49,33.5,22991,-62.1,-86.1,3,0.01,278,20,556.9,557.0,556.9
50,33.0,23084,-61.4,-85.9,3,0.01,270,19,561.3,561.4,561.3
51,31.0,23474,-58.3,-85.3,2,0.01,260,16,579.7,579.7,579.7
52,30.0,23680,-58.3,-85.3,2,0.01,275,16,585.1,585.2,585.1
53,29.0,23893,-58.5,-85.3,2,0.01,285,16,590.3,590.4,590.3
54,27.0,24341,-58.9,-85.5,2,0.01,255,19,601.5,601.6,601.5
55,24.0,25079,-59.5,-85.6,2,0.01,260,17,620.3,620.4,620.3
56,22.9,25374,-59.7,-85.7,2,0.01,277,17,627.9,628.0,627.9
57,20.0,26230,-54.7,-83.7,2,0.02,325,16,668.0,668.2,668.0
58,19.3,26459,-52.9,-82.9,1,0.02,,,680.4,680.6,680.4
