,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,94,,,,,,,,,
1,939.0,614,23.4,22.0,92,18.09,320,2,301.9,355.6,305.2
2,936.0,649,22.4,21.1,92,17.15,341,2,301.2,351.8,304.3
3,925.0,779,22.4,19.8,85,15.98,60,4,302.2,349.6,305.1
4,905.0,969,21.9,18.6,81,15.13,75,10,303.6,348.7,306.3
5,870.0,1313,21.0,16.4,75,13.67,78,7,306.1,347.4,308.6
6,850.0,1514,19.8,15.2,75,12.94,80,6,306.9,346.1,309.3
7,805.0,1977,17.3,13.5,78,12.19,75,6,309.1,346.4,311.3
8,775.0,2301,15.6,12.2,80,11.68,100,6,310.6,346.6,312.7
9,716.0,2975,12.0,9.7,86,10.66,119,9,313.7,347.1,315.7
10,700.0,3165,11.6,6.7,72,8.87,125,10,315.3,343.4,317.0
11,690.0,3285,11.1,6.8,74,9.05,125,10,316.1,344.8,317.8
12,687.0,3322,11.0,6.8,75,9.10,124,10,316.3,345.2,318.1
13,663.0,3613,9.2,5.1,75,8.37,115,14,317.6,344.3,319.2
14,586.0,4625,3.1,-0.9,75,6.17,140,14,321.8,342.1,323.0
15,562.0,4968,1.0,-2.9,75,5.54,115,17,323.3,341.7,324.4
16,557.0,5041,0.6,-3.3,75,5.42,115,18,323.6,341.6,324.6
17,500.0,5900,-4.3,-11.3,58,3.24,110,21,327.7,339.0,328.4
18,457.0,6601,-8.0,-19.8,38,1.75,115,23,331.6,338.0,332.0
19,422.0,7221,-11.3,-27.3,25,0.97,109,18,335.1,338.7,335.2
20,400.0,7630,-14.5,-30.5,24,0.76,105,14,336.1,339.0,336.2
21,382.0,7977,-16.7,-34.7,19,0.53,99,14,337.6,339.7,337.7
22,378.0,8056,-17.5,-29.5,34,0.88,98,15,337.6,341.0,337.8
23,373.0,8156,-17.7,-37.7,16,0.40,96,15,338.6,340.2,338.7
24,363.0,8359,-19.1,-43.1,10,0.23,93,15,339.4,340.3,339.4
25,354.0,8545,-20.5,-38.4,19,0.39,90,16,339.9,341.5,340.0
26,344.0,8757,-22.1,-33.1,36,0.69,95,15,340.5,343.3,340.7
27,339.0,8864,-22.9,-37.9,24,0.43,98,14,340.9,342.6,341.0
28,316.0,9373,-26.1,-44.0,17,0.24,110,12,343.3,344.4,343.4
29,304.0,9654,-27.9,-47.4,14,0.18,95,10,344.6,345.4,344.7
30,300.0,9750,-28.5,-48.5,13,0.16,90,10,345.1,345.8,345.1
31,299.0,9774,-28.7,-48.7,13,0.15,89,10,345.1,345.8,345.2
32,291.0,9963,-30.4,-49.0,15,0.15,80,12,345.4,346.1,345.4
33,252.0,10966,-39.5,-50.5,30,0.15,85,14,346.4,347.1,346.4
34,250.0,11020,-39.9,-51.9,27,0.13,85,14,346.6,347.2,346.6
35,230.0,11586,-44.5,-57.5,22,0.07,92,16,348.0,348.3,348.0
36,223.0,11793,-46.1,-54.1,40,0.11,95,17,348.6,349.1,348.6
37,213.0,12098,-48.7,-61.7,21,0.04,99,19,349.1,349.4,349.2
38,210.0,12191,-49.5,-59.9,29,0.06,100,19,349.3,349.6,349.4
39,204.0,12381,-51.1,-56.1,55,0.09,97,21,349.7,350.1,349.7
40,200.0,12510,-52.1,-58.1,48,0.07,95,21,350.1,350.4,350.1
41,191.0,12806,-54.5,-58.2,63,0.08,87,26,350.9,351.2,350.9
42,189.0,12873,-55.1,-59.8,56,0.06,85,27,350.9,351.2,351.0
43,184.0,13043,-56.7,-63.7,41,0.04,82,25,351.1,351.3,351.1
44,178.0,13253,-57.1,-79.1,5,0.00,78,23,353.8,353.8,353.8
45,168.0,13615,-60.3,-87.3,2,0.00,71,20,354.3,354.3,354.3
46,153.0,14189,-65.2,-80.7,10,0.00,60,14,355.5,355.5,355.5
47,150.0,14310,-66.3,-79.3,15,0.00,65,14,355.7,355.7,355.7
48,137.0,14852,-70.1,-79.3,25,0.01,100,17,358.3,358.3,358.3
49,130.0,15165,-72.3,-79.3,34,0.01,86,22,359.8,359.8,359.8
50,122.0,15532,-75.1,-81.4,37,0.00,70,27,361.2,361.3,361.2
51,109.0,16182,-80.1,-85.1,44,0.00,80,39,363.7,363.7,363.7
52,101.0,16614,-79.9,-84.4,48,0.00,90,43,372.1,372.1,372.1
53,100.0,16670,-79.7,-84.5,45,0.00,90,43,373.5,373.5,373.5
54,95.0,16959,-80.7,-84.8,50,0.00,70,43,377.1,377.2,377.1
55,90.7,17220,-81.5,-85.1,55,0.00,89,37,380.5,380.5,380.5
56,85.5,17556,-76.1,-83.1,33,0.00,113,29,397.9,397.9,397.9
57,84.0,17658,-76.4,-83.2,34,0.00,120,27,399.2,399.2,399.2
58,80.1,17931,-77.3,-83.3,38,0.00,108,23,402.9,402.9,402.9
59,79.0,18012,-75.0,-82.7,29,0.01,105,21,409.3,409.4,409.3
60,77.6,18116,-71.9,-81.9,21,0.01,91,21,417.8,417.8,417.8
