,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   112,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  941.0 ,   614,   24.4,   20.7,     80,  16.63,     70,      4,  302.8,  352.2,  305.8
2,  937.0 ,   660,   22.4,   18.7,     80,  14.71,     71,      5,  301.1,  344.5,  303.8
3,  925.0 ,   800,   21.6,   18.2,     81,  14.43,     75,      8,  301.4,  344.1,  304.0
4,  914.0 ,   904,   20.8,   17.9,     83,  14.33,     76,      8,  301.6,  344.0,  304.2
5,  898.0 ,  1057,   21.0,   13.0,     60,  10.58,     77,      8,  303.3,  335.1,  305.3
6,  850.0 ,  1531,   18.4,   12.4,     68,  10.75,     80,     10,  305.4,  337.9,  307.4
7,  834.0 ,  1694,   17.3,   11.9,     71,  10.61,     75,      6,  305.9,  338.1,  307.9
8,  821.0 ,  1828,   16.4,   11.5,     73,  10.48,     65,      7,  306.3,  338.2,  308.3
9,  802.0 ,  2027,   15.8,    8.1,     60,   8.50,     50,      8,  307.7,  333.8,  309.3
10,  780.0 ,  2264,   15.0,    4.0,     48,   6.58,     67,      6,  309.4,  329.9,  310.6
11,  769.0 ,  2384,   14.4,    0.2,     38,   5.09,     75,      6,  309.9,  326.1,  310.9
12,  766.0 ,  2417,   14.2,   -0.8,     36,   4.73,     76,      6,  310.1,  325.1,  311.0
13,  729.0 ,  2832,   11.0,    0.0,     47,   5.28,     84,     11,  311.0,  327.8,  312.0
14,  725.0 ,  2878,   11.4,   -7.6,     26,   2.99,     84,     12,  311.9,  321.8,  312.5
15,  719.0 ,  2948,   11.0,    0.0,     47,   5.35,     86,     13,  312.2,  329.3,  313.2
16,  709.0 ,  3065,   11.2,   -9.8,     22,   2.57,     88,     14,  313.7,  322.3,  314.2
17,  706.0 ,  3100,   10.8,   -3.2,     37,   4.30,     89,     15,  313.6,  327.6,  314.5
18,  700.0 ,  3171,   11.0,   -8.0,     26,   3.00,     90,     16,  314.6,  324.6,  315.2
19,  698.0 ,  3195,   11.2,  -11.8,     19,   2.23,     91,     16,  315.1,  322.6,  315.5
20,  696.0 ,  3219,   11.0,   -4.0,     35,   4.11,     91,     16,  315.1,  328.6,  315.9
21,  692.0 ,  3267,   11.2,  -13.8,     16,   1.91,     93,     16,  315.9,  322.4,  316.3
22,  685.0 ,  3352,   10.8,  -10.7,     21,   2.49,     95,     16,  316.4,  324.8,  316.9
23,  676.0 ,  3462,   10.4,   -6.6,     30,   3.47,    100,     14,  317.1,  328.6,  317.8
24,  673.0 ,  3499,   10.6,  -16.4,     13,   1.59,    102,     14,  317.7,  323.2,  318.1
25,  663.0 ,  3624,   10.4,  -24.6,      7,   0.79,    108,     12,  318.9,  321.8,  319.0
26,  629.0 ,  4056,    6.6,  -27.4,      7,   0.64,    130,      6,  319.4,  321.8,  319.5
27,  602.0 ,  4416,    3.4,  -29.8,      7,   0.54,    130,      6,  319.8,  321.8,  319.9
28,  595.0 ,  4512,    2.6,  -30.4,      7,   0.52,    113,      5,  319.8,  321.8,  319.9
29,  591.0 ,  4566,    2.2,  -18.8,     19,   1.47,    104,      5,  320.0,  325.2,  320.3
30,  577.0 ,  4759,    0.9,  -25.4,     12,   0.84,     70,      4,  320.6,  323.7,  320.8
31,  570.0 ,  4858,    0.2,  -28.8,      9,   0.63,     68,      4,  321.0,  323.3,  321.1
32,  536.0 ,  5349,   -2.1,  -22.1,     20,   1.22,     61,      5,  323.9,  328.3,  324.1
33,  522.0 ,  5559,   -3.1,  -52.1,      1,   0.06,     57,      6,  325.2,  325.4,  325.2
34,  512.0 ,  5712,   -3.4,  -41.1,      4,   0.21,     55,      6,  326.6,  327.5,  326.7
35,  500.0 ,  5900,   -3.7,  -27.7,     14,   0.79,     45,      2,  328.5,  331.4,  328.6
36,  492.0 ,  6026,   -4.6,  -26.6,     16,   0.89,      0,      0,  328.8,  332.1,  329.0
37,  472.0 ,  6349,   -7.0,  -23.8,     25,   1.19,    140,      2,  329.8,  334.2,  330.0
38,  451.0 ,  6704,   -9.7,  -20.7,     40,   1.64,    163,      3,  330.8,  336.7,  331.1
39,  428.0 ,  7106,  -11.3,  -30.3,     19,   0.72,    189,      5,  333.7,  336.5,  333.9
40,  415.0 ,  7340,  -13.3,  -30.0,     23,   0.77,    205,      6,  334.1,  337.0,  334.2
41,  400.0 ,  7620,  -15.7,  -29.7,     29,   0.82,    235,      4,  334.5,  337.6,  334.7
42,  396.0 ,  7695,  -16.4,  -30.0,     30,   0.81,    250,      4,  334.6,  337.7,  334.8
43,  389.0 ,  7829,  -17.5,  -30.5,     31,   0.78,    246,      5,  334.8,  337.8,  335.0
44,  379.0 ,  8024,  -18.0,  -39.4,     14,   0.33,    240,      8,  336.7,  338.1,  336.8
45,  376.0 ,  8083,  -18.1,  -42.1,     10,   0.25,    245,      8,  337.3,  338.3,  337.3
