,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    80,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  938.0 ,   614,   25.6,   22.7,     84,  18.92,     70,      6,  304.3,  360.9,  307.7
2,  925.0 ,   770,   22.8,   20.9,     89,  17.14,     85,      6,  302.6,  353.6,  305.7
3,  924.0 ,   779,   22.6,   20.8,     90,  17.05,     86,      6,  302.5,  353.1,  305.6
4,  898.0 ,  1028,   20.8,   19.9,     94,  16.53,    115,      6,  303.1,  352.4,  306.1
5,  878.0 ,  1224,   19.4,   19.1,     98,  16.12,    118,      9,  303.6,  351.7,  306.6
6,  859.0 ,  1412,   18.2,   17.6,     96,  14.92,    120,     12,  304.3,  348.9,  307.0
7,  850.0 ,  1503,   17.6,   16.8,     95,  14.37,    115,     12,  304.6,  347.6,  307.2
8,  821.0 ,  1800,   15.2,   13.0,     87,  11.59,    109,     12,  305.1,  340.0,  307.2
9,  789.0 ,  2139,   16.8,    8.8,     59,   9.09,    102,     12,  310.3,  338.4,  312.0
10,  755.0 ,  2514,   14.8,    7.8,     63,   8.87,     95,     12,  312.0,  339.7,  313.7
11,  744.0 ,  2638,   14.4,    3.4,     48,   6.61,     87,     12,  312.9,  333.8,  314.1
12,  722.0 ,  2891,   13.1,    1.5,     45,   5.93,     70,     14,  314.2,  333.2,  315.3
13,  710.0 ,  3032,   12.4,    0.4,     44,   5.58,     73,     15,  314.9,  332.9,  316.0
14,  700.0 ,  3151,   11.6,    1.6,     50,   6.18,     75,     16,  315.3,  335.1,  316.5
15,  678.0 ,  3418,   10.4,    0.4,     50,   5.84,     73,     16,  316.9,  335.8,  318.0
16,  628.0 ,  4051,    6.0,   -5.0,     45,   4.22,     69,     18,  318.8,  332.8,  319.6
17,  620.0 ,  4156,    5.8,  -10.2,     31,   2.85,     68,     18,  319.8,  329.4,  320.3
18,  583.0 ,  4654,    2.4,   -8.7,     44,   3.41,     65,     19,  321.4,  332.9,  322.1
19,  561.0 ,  4966,    0.2,   -7.8,     55,   3.81,     70,     18,  322.4,  335.3,  323.2
20,  543.0 ,  5227,   -1.3,  -11.3,     47,   2.98,     73,     16,  323.7,  333.9,  324.2
21,  537.0 ,  5315,   -1.7,  -16.7,     31,   1.94,     75,     16,  324.2,  331.0,  324.6
22,  536.0 ,  5330,   -1.8,  -16.8,     31,   1.92,     75,     16,  324.3,  331.1,  324.7
23,  501.0 ,  5864,   -4.9,  -21.9,     25,   1.33,     56,     14,  326.8,  331.6,  327.1
24,  500.0 ,  5880,   -5.1,  -21.1,     27,   1.43,     55,     14,  326.8,  331.9,  327.0
25,  493.0 ,  5990,   -6.0,  -21.4,     29,   1.41,     50,     12,  327.0,  332.1,  327.3
26,  456.0 ,  6596,  -10.9,  -22.9,     37,   1.34,     56,     13,  328.2,  333.1,  328.5
27,  444.0 ,  6800,  -12.3,  -28.3,     25,   0.84,     58,     13,  329.0,  332.1,  329.1
28,  432.0 ,  7009,  -14.2,  -25.9,     36,   1.08,     60,     14,  329.1,  333.1,  329.4
29,  430.0 ,  7044,  -14.5,  -25.5,     39,   1.12,     58,     13,  329.2,  333.3,  329.4
30,  407.0 ,  7459,  -16.3,  -27.3,     38,   1.01,     29,     12,  332.1,  335.8,  332.3
31,  404.0 ,  7515,  -15.1,  -37.1,     13,   0.39,     25,     12,  334.3,  335.9,  334.4
32,  400.0 ,  7590,  -15.7,  -43.7,      7,   0.20,     20,     12,  334.5,  335.3,  334.5
33,  394.0 ,  7703,  -16.7,  -42.9,      8,   0.22,     10,     14,  334.7,  335.6,  334.7
34,  383.0 ,  7915,  -18.5,  -41.5,     11,   0.26,     10,     11,  335.0,  336.1,  335.0
35,  371.0 ,  8151,  -20.7,  -27.7,     53,   1.06,     10,      9,  335.1,  339.1,  335.4
36,  369.0 ,  8190,  -20.7,  -25.7,     64,   1.29,     10,      8,  335.6,  340.5,  335.9
37,  361.0 ,  8352,  -21.9,  -28.9,     53,   0.98,     10,      7,  336.1,  339.9,  336.4
38,  358.0 ,  8413,  -22.1,  -27.0,     64,   1.18,     10,      6,  336.7,  341.1,  336.9
39,  357.0 ,  8433,  -22.2,  -27.7,     61,   1.10,     10,      6,  336.8,  341.0,  337.0
40,  345.0 ,  8683,  -23.5,  -36.5,     29,   0.49,     38,      6,  338.4,  340.3,  338.5
41,  340.0 ,  8790,  -24.2,  -36.0,     33,   0.52,     50,      6,  338.8,  340.9,  338.9
42,  333.0 ,  8941,  -25.3,  -35.3,     39,   0.57,     50,      7,  339.3,  341.6,  339.5
43,  324.0 ,  9138,  -26.3,  -45.0,     15,   0.21,     50,      8,  340.6,  341.5,  340.6
44,  303.0 ,  9619,  -28.9,  -68.9,      1,   0.01,     76,     13,  343.6,  343.6,  343.6
45,  300.0 ,  9690,  -29.5,  -68.5,      1,   0.01,     80,     14,  343.7,  343.8,  343.7
46,  295.0 ,  9808,  -30.5,  -66.1,      2,   0.02,     85,     16,  343.9,  343.9,  343.9
47,  267.0 , 10508,  -36.7,  -51.7,     20,   0.12,     75,     17,  344.8,  345.4,  344.9
48,  266.0 , 10534,  -36.9,  -52.4,     18,   0.11,     75,     17,  344.9,  345.4,  344.9
49,  250.0 , 10960,  -40.3,  -64.3,      6,   0.03,     80,     12,  346.0,  346.1,  346.0
50,  227.0 , 11610,  -45.7,  -70.7,      4,   0.01,    104,      9,  347.4,  347.5,  347.4
51,  217.0 , 11906,  -48.3,  -67.4,      9,   0.02,    115,      8,  347.9,  348.0,  347.9
52,  204.0 , 12312,  -51.9,  -62.9,     25,   0.04,     81,     11,  348.4,  348.6,  348.4
53,  200.0 , 12440,  -52.9,  -64.9,     22,   0.03,     70,     12,  348.8,  349.0,  348.8
54,  185.0 , 12925,  -57.1,  -68.3,     23,   0.02,     50,     19,  349.9,  349.9,  349.9
55,  165.0 , 13637,  -63.3,  -73.3,     25,   0.01,     55,     33,  351.1,  351.1,  351.1
56,  150.0 , 14230,  -68.5,  -77.5,     26,   0.01,     55,     35,  351.9,  351.9,  351.9
57,  145.0 , 14432,  -70.3,  -79.3,     26,   0.01,     52,     35,  352.2,  352.2,  352.2
58,  124.0 , 15342,  -75.7,  -83.3,     29,   0.00,     40,     35,  358.5,  358.5,  358.5
59,  115.0 , 15780,  -78.3,  -85.3,     32,   0.00,     58,     29,  361.5,  361.5,  361.5
60,  112.0 , 15930,  -78.3,  -84.3,     37,   0.00,     64,     27,  364.2,  364.2,  364.2
61,  109.0 , 16086,  -77.7,  -84.2,     35,   0.00,     70,     25,  368.1,  368.1,  368.1
62,  101.0 , 16523,  -76.1,  -84.1,     28,   0.00,     57,     22,  379.4,  379.4,  379.4
63,  100.0 , 16580,  -76.7,  -84.7,     27,   0.00,     55,     21,  379.3,  379.3,  379.3
64,   98.0 , 16697,  -76.6,  -84.9,     26,   0.00,     45,     19,  381.6,  381.6,  381.6
65,   86.0 , 17452,  -76.3,  -85.9,     21,   0.00,     70,     17,  396.9,  396.9,  396.9
66,   81.0 , 17798,  -76.1,  -86.4,     19,   0.00,     45,     25,  404.1,  404.1,  404.1
67,   76.1 , 18159,  -75.9,  -86.9,     16,   0.00,     58,     28,  411.7,  411.8,  411.7
68,   73.7 , 18346,  -72.5,  -87.5,      9,   0.00,     64,     29,  422.7,  422.7,  422.7
69,   70.0 , 18650,  -71.9,  -86.9,      9,   0.00,     75,     31,  430.2,  430.3,  430.2
70,   63.2 , 19253,  -70.7,  -86.7,      8,   0.00,     90,     31,  445.6,  445.6,  445.6
71,   61.6 , 19406,  -66.7,  -87.7,      4,   0.00,     94,     31,  457.8,  457.8,  457.8
72,   61.0 , 19466,  -66.6,  -87.7,      4,   0.00,     95,     31,  459.2,  459.2,  459.2
73,   50.0 , 20670,  -65.3,  -87.3,      3,   0.00,     85,     31,  489.2,  489.2,  489.2
74,   47.8 , 20944,  -65.7,  -87.7,      3,   0.00,     84,     34,  494.6,  494.6,  494.6
75,   41.0 , 21889,  -60.4,  -87.0,      2,   0.01,     80,     45,  529.9,  530.0,  529.9
76,   40.4 , 21980,  -59.9,  -86.9,      2,   0.01,     81,     44,  533.4,  533.5,  533.4
77,   30.0 , 23860,  -54.9,  -85.9,      1,   0.01,     95,     33,  594.4,  594.5,  594.4
78,   28.0 , 24302,  -54.2,  -85.8,      1,   0.01,    100,     29,  608.2,  608.3,  608.2
