,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0,1000.0,113,,,,,,,,,
1,940.0,614,20.8,18.7,88,14.66,70,12,299.2,342.1,301.8
2,925.0,792,19.4,17.8,90,14.06,55,16,299.1,340.3,301.7
3,899.0,1037,17.7,16.6,93,13.41,45,21,299.9,339.3,302.3
4,873.0,1289,16.0,15.4,96,12.76,50,25,300.6,338.2,302.9
5,850.0,1516,15.0,13.9,93,11.88,55,29,301.9,337.1,304.0
6,820.0,1821,14.2,12.3,88,11.06,60,31,304.1,337.3,306.1
7,806.0,1966,13.8,11.5,86,10.68,61,29,305.2,337.4,307.1
8,763.0,2430,14.2,7.2,63,8.42,65,21,310.4,336.6,312.0
9,724.0,2871,11.2,2.2,54,6.23,69,14,311.8,331.5,313.0
10,712.0,3010,9.6,2.3,60,6.39,70,12,311.6,331.7,312.8
11,703.0,3116,8.4,2.4,66,6.51,74,10,311.4,331.9,312.6
12,700.0,3151,8.4,1.4,61,6.09,75,10,311.8,331.0,312.9
13,687.0,3306,7.2,-0.8,57,5.28,101,5,312.1,328.9,313.1
14,683.0,3354,9.0,-9.0,27,2.85,109,3,314.6,324.1,315.2
15,680.0,3391,9.1,-11.1,23,2.42,115,2,315.1,323.2,315.5
16,672.0,3489,9.2,-16.8,14,1.54,128,3,316.3,321.6,316.6
17,649.0,3775,8.3,-23.1,9,0.92,165,8,318.4,321.7,318.6
18,620.0,4152,7.1,-31.5,4,0.45,150,10,321.2,322.9,321.3
19,595.0,4490,6.0,-39.0,2,0.22,167,5,323.8,324.7,323.8
20,591.0,4545,5.7,-39.1,2,0.22,170,4,324.0,324.9,324.0
21,565.0,4907,3.3,-40.0,2,0.21,150,6,325.4,326.2,325.4
22,540.0,5272,0.9,-41.0,3,0.20,155,2,326.8,327.6,326.9
23,515.0,5654,-1.6,-41.9,3,0.19,260,4,328.2,329.0,328.3
24,510.0,5733,-2.1,-42.1,3,0.19,252,4,328.6,329.3,328.6
