,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   122,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  942.0 ,   614,   25.0,   22.5,     86,  18.60,     20,      2,  303.3,  358.8,  306.6
2,  935.0 ,   695,   22.8,   20.0,     84,  16.01,     34,      4,  301.7,  349.1,  304.6
3,  925.0 ,   810,   22.0,   19.9,     88,  16.09,     55,      8,  301.8,  349.4,  304.7
4,  915.0 ,   905,   21.0,   19.4,     91,  15.76,     58,     12,  301.7,  348.4,  304.6
5,  906.0 ,   991,   20.7,   19.0,     90,  15.47,     60,     16,  302.2,  348.1,  305.0
6,  871.0 ,  1333,   19.4,   17.2,     87,  14.39,     40,     12,  304.3,  347.4,  306.9
7,  867.0 ,  1373,   19.2,   17.0,     87,  14.26,     36,     11,  304.5,  347.3,  307.1
8,  854.0 ,  1503,   20.0,   15.5,     75,  13.14,     24,      9,  306.7,  346.4,  309.1
9,  850.0 ,  1544,   19.8,   15.4,     76,  13.11,     20,      8,  306.9,  346.6,  309.3
10,  834.0 ,  1706,   18.6,   14.6,     77,  12.71,      0,      8,  307.3,  345.9,  309.7
11,  798.0 ,  2083,   16.0,   12.8,     82,  11.79,     15,      6,  308.4,  344.4,  310.6
12,  765.0 ,  2444,   13.4,   11.1,     86,  10.96,     41,      9,  309.3,  343.0,  311.4
13,  742.0 ,  2701,   12.8,    7.8,     72,   9.03,     59,     11,  311.4,  339.5,  313.1
14,  739.0 ,  2735,   13.2,    3.2,     51,   6.56,     62,     11,  312.2,  332.9,  313.4
15,  735.0 ,  2781,   13.1,    2.1,     47,   6.10,     65,     12,  312.6,  331.9,  313.7
16,  731.0 ,  2827,   13.0,    1.0,     44,   5.66,     64,     12,  312.9,  331.0,  314.0
17,  706.0 ,  3119,   11.7,    5.4,     66,   8.04,     60,     12,  314.6,  340.0,  316.1
18,  705.0 ,  3130,   11.6,    5.6,     67,   8.15,     61,     12,  314.7,  340.5,  316.2
19,  700.0 ,  3190,   11.4,    3.4,     58,   7.03,     65,     12,  315.1,  337.5,  316.4
20,  691.0 ,  3298,   11.2,   -5.8,     30,   3.61,     68,     11,  316.0,  327.9,  316.7
21,  651.0 ,  3793,    7.8,   -5.2,     39,   4.01,     84,      9,  317.6,  330.8,  318.4
22,  633.0 ,  4023,    6.2,  -12.8,     24,   2.27,     92,      8,  318.3,  326.1,  318.8
23,  625.0 ,  4127,    5.3,  -11.6,     28,   2.54,     95,      8,  318.5,  327.1,  319.0
24,  596.0 ,  4513,    2.0,   -7.0,     51,   3.81,     85,     10,  319.0,  331.7,  319.7
25,  587.0 ,  4636,    1.6,  -14.4,     29,   2.15,     82,     10,  319.9,  327.3,  320.3
26,  583.0 ,  4691,    1.0,   -9.0,     47,   3.34,     81,     11,  319.9,  331.1,  320.5
27,  566.0 ,  4928,   -0.8,  -11.5,     44,   2.83,     75,     12,  320.5,  330.1,  321.0
28,  559.0 ,  5027,   -1.5,  -12.5,     43,   2.63,     78,     12,  320.8,  329.7,  321.3
29,  553.0 ,  5113,   -1.7,  -14.7,     36,   2.22,     80,     12,  321.5,  329.2,  321.9
30,  552.0 ,  5128,   -2.1,  -10.1,     54,   3.23,     80,     12,  321.2,  332.1,  321.8
31,  549.0 ,  5171,   -1.9,  -14.9,     36,   2.20,     81,     12,  321.9,  329.6,  322.4
32,  533.0 ,  5406,   -2.5,  -23.5,     18,   1.08,     87,     12,  324.0,  327.9,  324.2
33,  500.0 ,  5910,   -5.5,  -22.5,     25,   1.26,    100,     12,  326.3,  330.9,  326.5
34,  470.0 ,  6392,   -8.2,  -25.2,     24,   1.05,    115,      8,  328.7,  332.6,  328.9
35,  465.0 ,  6475,   -8.7,  -25.7,     24,   1.02,    123,      9,  329.1,  332.9,  329.3
36,  460.0 ,  6559,   -7.7,  -35.7,      9,   0.40,    131,     11,  331.4,  333.0,  331.5
37,  449.0 ,  6746,   -8.7,  -35.2,     10,   0.43,    150,     14,  332.4,  334.1,  332.5
38,  439.0 ,  6920,   -9.7,  -34.7,     11,   0.46,    143,     14,  333.3,  335.1,  333.4
39,  428.0 ,  7114,  -11.0,  -37.6,      9,   0.35,    135,     14,  334.1,  335.5,  334.1
40,  400.0 ,  7630,  -14.5,  -45.5,      5,   0.16,    140,      6,  336.1,  336.8,  336.1
41,  385.0 ,  7914,  -16.6,  -46.5,      6,   0.15,    150,      4,  336.9,  337.6,  337.0
42,  350.0 ,  8621,  -22.0,  -49.1,      7,   0.13,    140,      8,  339.0,  339.6,  339.1
43,  337.0 ,  8901,  -24.1,  -50.1,      7,   0.12,    155,      5,  339.8,  340.3,  339.8
44,  333.0 ,  8988,  -24.5,  -44.5,     14,   0.22,    160,      4,  340.4,  341.4,  340.5
45,  331.0 ,  9032,  -24.7,  -41.7,     19,   0.30,    166,      4,  340.8,  342.0,  340.8
46,  323.0 ,  9209,  -25.1,  -61.1,      2,   0.03,    191,      4,  342.6,  342.7,  342.6
47,  317.0 ,  9344,  -26.2,  -58.9,      3,   0.04,    210,      4,  342.9,  343.1,  342.9
48,  302.0 ,  9692,  -29.1,  -53.3,      8,   0.09,    190,      8,  343.6,  344.0,  343.6
49,  300.0 ,  9740,  -29.5,  -52.5,      9,   0.10,    190,      8,  343.7,  344.1,  343.7
50,  260.0 , 10746,  -37.7,  -56.6,     12,   0.07,    215,     16,  346.0,  346.3,  346.0
51,  252.0 , 10965,  -39.5,  -57.5,     13,   0.06,    207,     16,  346.4,  346.7,  346.4
52,  250.0 , 11020,  -40.1,  -57.1,     15,   0.07,    205,     16,  346.3,  346.6,  346.3
53,  235.0 , 11438,  -43.5,  -52.5,     36,   0.13,    195,     14,  347.4,  347.9,  347.4
54,  222.0 , 11817,  -46.5,  -58.5,     24,   0.06,    218,     14,  348.4,  348.7,  348.4
55,  215.0 , 12028,  -48.1,  -54.1,     50,   0.11,    231,     15,  349.1,  349.7,  349.2
56,  201.0 , 12468,  -51.1,  -58.1,     43,   0.07,    258,     15,  351.2,  351.5,  351.2
