,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    78,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  937.0 ,   614,   22.0,   21.2,     95,  17.24,      0,      6,  300.7,  351.5,  303.8
2,  936.0 ,   626,   21.4,   21.1,     98,  17.15,      3,      6,  300.2,  350.6,  303.2
3,  925.0 ,   760,   20.8,   20.1,     96,  16.29,     35,      8,  300.6,  348.6,  303.5
4,  904.0 ,   959,   20.0,   19.4,     96,  16.00,     70,     14,  301.8,  349.1,  304.7
5,  850.0 ,  1491,   18.0,   17.7,     98,  15.23,     70,     17,  305.0,  350.7,  307.8
6,  807.0 ,  1936,   16.3,   16.2,     99,  14.58,     70,     23,  307.8,  352.0,  310.4
7,  804.0 ,  1968,   16.2,   16.1,     99,  14.53,     70,     23,  308.0,  352.1,  310.6
8,  700.0 ,  3138,   10.2,    9.9,     98,  11.06,     65,     16,  313.8,  348.3,  315.8
9,  647.0 ,  3787,    7.2,    7.0,     98,   9.80,     60,     10,  317.5,  348.7,  319.4
10,  624.0 ,  4086,    5.9,    5.7,     98,   9.26,     90,      6,  319.3,  349.0,  321.1
11,  584.0 ,  4632,    3.4,    3.2,     99,   8.32,    124,      9,  322.5,  349.6,  324.1
12,  572.0 ,  4799,    1.8,    1.1,     95,   7.27,    135,     10,  322.6,  346.4,  324.0
13,  549.0 ,  5129,   -1.3,   -3.2,     87,   5.54,    190,      8,  322.6,  341.0,  323.7
14,  539.0 ,  5277,   -2.7,   -5.1,     84,   4.88,    187,      8,  322.7,  338.9,  323.6
15,  500.0 ,  5870,   -5.5,   -7.2,     88,   4.48,    175,      8,  326.3,  341.4,  327.1
16,  498.0 ,  5902,   -5.5,   -6.9,     90,   4.60,    175,      8,  326.6,  342.2,  327.6
17,  488.0 ,  6061,   -6.9,  -10.6,     75,   3.51,    175,      8,  326.8,  338.9,  327.5
18,  479.0 ,  6205,   -7.5,  -11.2,     75,   3.42,    175,      8,  327.8,  339.6,  328.5
19,  463.0 ,  6470,   -8.7,  -12.2,     76,   3.26,    187,      9,  329.5,  340.9,  330.2
20,  458.0 ,  6554,   -9.9,  -15.9,     62,   2.43,    191,     10,  329.1,  337.6,  329.5
21,  450.0 ,  6690,  -10.1,  -14.1,     73,   2.87,    197,     11,  330.5,  340.6,  331.0
22,  445.0 ,  6776,  -11.3,  -20.3,     47,   1.72,    201,     11,  330.0,  336.2,  330.4
23,  440.0 ,  6863,  -11.3,  -17.9,     58,   2.13,    205,     12,  331.1,  338.7,  331.5
24,  436.0 ,  6933,  -11.3,  -16.0,     68,   2.53,    203,     11,  331.9,  341.0,  332.4
25,  434.0 ,  6968,  -12.3,  -23.3,     39,   1.36,    201,     11,  331.1,  336.1,  331.4
26,  432.0 ,  7004,  -11.5,  -16.5,     66,   2.45,    200,     11,  332.6,  341.3,  333.1
27,  424.0 ,  7147,  -12.4,  -18.3,     61,   2.15,    195,     10,  333.2,  341.0,  333.6
28,  423.0 ,  7165,  -12.5,  -18.5,     61,   2.11,    191,      9,  333.3,  340.9,  333.7
29,  421.0 ,  7201,  -12.9,  -22.9,     43,   1.45,    182,      9,  333.2,  338.6,  333.5
30,  416.0 ,  7292,  -13.5,  -25.5,     36,   1.16,    161,      8,  333.6,  337.9,  333.8
31,  410.0 ,  7403,  -14.0,  -24.7,     40,   1.26,    135,      6,  334.3,  339.0,  334.6
32,  402.0 ,  7552,  -14.7,  -23.7,     46,   1.41,    123,      4,  335.3,  340.6,  335.6
33,  400.0 ,  7590,  -14.9,  -24.9,     42,   1.28,    120,      4,  335.5,  340.3,  335.8
34,  394.0 ,  7704,  -15.5,  -30.5,     26,   0.77,    105,      4,  336.2,  339.2,  336.4
35,  392.0 ,  7742,  -15.3,  -23.3,     50,   1.50,     88,      4,  336.9,  342.6,  337.3
36,  384.0 ,  7898,  -15.3,  -19.1,     73,   2.21,     18,      4,  338.9,  347.1,  339.4
37,  378.0 ,  8016,  -16.2,  -20.1,     72,   2.07,    325,      4,  339.2,  346.9,  339.6
38,  357.0 ,  8443,  -19.7,  -23.5,     72,   1.62,    317,      7,  340.2,  346.3,  340.5
39,  356.0 ,  8464,  -19.9,  -24.0,     70,   1.55,    316,      7,  340.2,  346.0,  340.5
40,  330.0 ,  9016,  -23.6,  -27.3,     72,   1.24,    305,     12,  342.5,  347.3,  342.8
41,  315.0 ,  9355,  -25.9,  -29.4,     73,   1.07,    325,     12,  343.9,  348.1,  344.1
42,  302.0 ,  9662,  -28.0,  -31.2,     74,   0.94,    315,     12,  345.2,  348.9,  345.4
43,  300.0 ,  9710,  -28.3,  -31.5,     74,   0.92,    320,     12,  345.4,  349.0,  345.6
44,  288.0 ,  9999,  -30.4,  -33.7,     73,   0.77,    350,     12,  346.4,  349.5,  346.6
45,  275.0 , 10326,  -32.8,  -36.3,     71,   0.63,     20,     16,  347.6,  350.1,  347.7
46,  267.0 , 10534,  -34.3,  -37.9,     70,   0.55,     35,     14,  348.3,  350.6,  348.4
47,  262.0 , 10665,  -35.5,  -39.1,     69,   0.49,     45,     14,  348.5,  350.6,  348.6
48,  250.0 , 10990,  -38.3,  -42.1,     67,   0.38,     50,     14,  349.0,  350.6,  349.1
49,  215.0 , 12004,  -46.4,  -50.8,     61,   0.17,     50,      8,  351.8,  352.5,  351.8
50,  200.0 , 12490,  -50.3,  -55.0,     57,   0.11,     75,     17,  352.9,  353.4,  353.0
51,  192.0 , 12751,  -52.6,  -57.7,     54,   0.08,     85,     19,  353.3,  353.7,  353.4
52,  171.0 , 13491,  -59.3,  -65.3,     46,   0.03,       ,       ,  354.2,  354.4,  354.2
