,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,    56,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  935.0 ,   614,   23.8,   22.4,     92,  18.63,    210,      6,  302.7,  358.1,  306.1
2,  925.0 ,   736,   21.8,   18.7,     83,  14.90,    225,     17,  301.6,  345.7,  304.3
3,  912.0 ,   859,   21.2,   17.9,     81,  14.37,    230,     25,  302.2,  344.9,  304.8
4,  850.0 ,  1468,   18.4,   14.0,     76,  11.96,    235,     29,  305.4,  341.5,  307.6
5,  828.0 ,  1693,   17.4,   10.4,     63,   9.65,    237,     30,  306.6,  336.1,  308.4
6,  800.0 ,  1985,   15.4,   10.3,     71,   9.90,    240,     31,  307.6,  337.8,  309.4
7,  767.0 ,  2343,   13.0,   10.1,     83,  10.22,    237,     29,  308.7,  340.0,  310.6
8,  739.0 ,  2656,   13.0,    6.0,     62,   8.00,    234,     28,  312.0,  337.0,  313.5
9,  700.0 ,  3110,   10.8,    2.8,     58,   6.73,    230,     25,  314.4,  335.9,  315.7
10,  690.0 ,  3230,   10.2,    2.2,     58,   6.54,    229,     25,  315.0,  335.9,  316.3
11,  596.0 ,  4434,    2.8,   -3.2,     65,   5.10,    218,     24,  319.9,  336.7,  320.9
12,  576.0 ,  4710,    2.8,   -5.9,     53,   4.29,    215,     23,  323.1,  337.5,  323.9
13,  574.0 ,  4738,    2.8,   -6.2,     52,   4.21,    213,     23,  323.4,  337.6,  324.2
14,  551.0 ,  5065,    0.4,   -6.9,     58,   4.15,    195,     17,  324.3,  338.3,  325.1
15,  508.0 ,  5715,   -4.5,   -8.4,     74,   4.02,    203,     13,  326.0,  339.7,  326.8
16,  500.0 ,  5840,   -5.1,   -9.9,     69,   3.63,    205,     12,  326.8,  339.2,  327.5
17,  481.0 ,  6144,   -5.9,  -12.9,     58,   2.96,    212,     14,  329.4,  339.8,  330.0
18,  446.0 ,  6729,  -10.4,  -15.8,     65,   2.52,    225,     17,  330.9,  339.8,  331.4
19,  438.0 ,  6870,  -11.5,  -16.5,     66,   2.42,    213,     17,  331.2,  339.9,  331.7
20,  401.0 ,  7541,  -15.3,  -25.3,     42,   1.23,    157,     12,  334.8,  339.4,  335.0
21,  400.0 ,  7560,  -15.5,  -24.5,     46,   1.32,    155,     12,  334.8,  339.7,  335.0
22,  395.0 ,  7655,  -16.1,  -23.1,     55,   1.52,    144,     12,  335.2,  340.8,  335.5
23,  393.0 ,  7693,  -16.4,  -23.5,     54,   1.47,    140,     12,  335.3,  340.8,  335.6
