,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   126,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  942.0 ,   614,   23.4,   19.8,     80,  15.69,     40,     10,  301.7,  348.1,  304.5
2,  931.0 ,   741,   20.4,   18.3,     88,  14.43,     56,     12,  299.6,  341.9,  302.2
3,  925.0 ,   810,   20.0,   17.4,     85,  13.70,     65,     14,  299.8,  340.0,  302.2
4,  904.0 ,  1007,   19.0,   15.7,     81,  12.56,     85,     19,  300.7,  337.8,  302.9
5,  870.0 ,  1337,   17.3,   12.9,     75,  10.84,     85,     21,  302.2,  334.6,  304.2
6,  868.0 ,  1357,   17.2,   12.7,     75,  10.74,     85,     21,  302.3,  334.4,  304.3
7,  850.0 ,  1536,   17.4,    9.4,     59,   8.78,     90,     14,  304.4,  330.9,  306.0
8,  843.0 ,  1607,   18.8,    4.8,     40,   6.44,     90,     11,  306.6,  326.4,  307.7
9,  839.0 ,  1647,   18.5,    4.3,     39,   6.25,     90,     10,  306.7,  326.0,  307.8
10,  806.0 ,  1990,   16.2,    0.2,     34,   4.84,    123,      8,  307.7,  323.0,  308.6
11,  804.0 ,  2011,   16.2,   -0.1,     33,   4.73,    125,      8,  307.9,  322.9,  308.8
12,  753.0 ,  2567,   15.6,   -9.4,     17,   2.50,    125,      9,  313.1,  321.5,  313.6
13,  706.0 ,  3107,   11.0,   -6.9,     28,   3.24,    125,     10,  313.9,  324.5,  314.5
14,  700.0 ,  3179,   10.4,   -6.6,     30,   3.35,    125,      8,  314.0,  325.0,  314.6
15,  683.0 ,  3383,    8.4,   -6.6,     34,   3.43,    119,      7,  313.9,  325.2,  314.6
16,  674.0 ,  3492,    7.0,    0.0,     61,   5.71,    115,      6,  313.6,  331.8,  314.7
17,  644.0 ,  3865,    4.1,   -1.1,     69,   5.52,     60,      2,  314.4,  332.1,  315.4
18,  641.0 ,  3903,    3.8,   -1.2,     70,   5.50,     57,      2,  314.5,  332.1,  315.5
19,  634.0 ,  3993,    3.6,    0.9,     83,   6.49,     50,      3,  315.2,  336.0,  316.5
20,  627.0 ,  4083,    3.6,   -1.4,     70,   5.54,     43,      4,  316.2,  334.1,  317.3
21,  623.0 ,  4135,    3.2,    0.5,     82,   6.41,     39,      5,  316.4,  336.9,  317.6
22,  614.0 ,  4253,    2.6,   -0.3,     81,   6.12,     30,      6,  317.0,  336.8,  318.2
23,  610.0 ,  4306,    2.4,   -0.7,     80,   6.00,     32,      6,  317.4,  336.7,  318.5
24,  607.0 ,  4346,    3.0,   -4.0,     60,   4.71,     34,      5,  318.5,  334.0,  319.4
25,  600.0 ,  4440,    3.8,   -5.2,     52,   4.35,     37,      5,  320.5,  334.9,  321.3
26,  586.0 ,  4632,    3.2,   -8.9,     41,   3.34,     45,      4,  321.9,  333.2,  322.6
27,  582.0 ,  4687,    3.0,  -10.0,     38,   3.09,     53,      4,  322.3,  332.9,  322.9
28,  574.0 ,  4799,    2.2,   -7.8,     48,   3.72,     69,      5,  322.7,  335.2,  323.4
