,pres_hpa,hght_m,temp_c,dwpt_c,relh_pct,mixr_gkg,drct_deg,sknt_knot,tht_k,the_k,thv_k
0, 1000.0 ,   119,       ,       ,       ,       ,       ,       ,       ,       ,       
1,  942.0 ,   614,   24.8,   22.1,     85,  18.14,     80,      8,  303.1,  357.1,  306.4
2,  925.0 ,   807,   22.2,   19.5,     85,  15.68,     85,     14,  302.0,  348.5,  304.8
3,  875.0 ,  1289,   19.3,   17.4,     89,  14.49,     90,     23,  303.8,  347.1,  306.5
4,  873.0 ,  1309,   19.2,   17.3,     89,  14.44,     90,     23,  303.9,  347.1,  306.6
5,  850.0 ,  1539,   19.4,   15.6,     79,  13.29,     90,     23,  306.4,  346.6,  308.9
6,  822.0 ,  1828,   19.2,   13.2,     68,  11.73,     88,     22,  309.2,  345.2,  311.4
7,  749.0 ,  2623,   14.8,    7.8,     63,   8.94,     83,     17,  312.7,  340.7,  314.4
8,  700.0 ,  3192,   11.4,    1.4,     50,   6.09,     80,     14,  315.1,  334.6,  316.2
9,  695.0 ,  3252,   10.9,    0.9,     50,   5.91,     80,     12,  315.2,  334.1,  316.3
10,  694.0 ,  3264,   10.8,    0.8,     50,   5.88,     80,     12,  315.2,  334.1,  316.3
11,  663.0 ,  3644,    7.8,   -0.2,     57,   5.72,     86,     13,  315.9,  334.4,  317.1
12,  659.0 ,  3694,    7.4,    2.8,     73,   7.16,     87,     13,  316.1,  338.9,  317.4
13,  656.0 ,  3732,    7.4,   -0.6,     57,   5.61,     87,     13,  316.5,  334.6,  317.5
14,  650.0 ,  3807,    7.2,   -1.8,     53,   5.19,     88,     13,  317.1,  333.9,  318.1
15,  641.0 ,  3922,    6.2,   -1.2,     59,   5.51,     90,     14,  317.3,  335.1,  318.3
16,  633.0 ,  4025,    5.4,   -0.6,     65,   5.82,     86,     12,  317.4,  336.3,  318.5
17,  623.0 ,  4156,    5.4,   -9.6,     33,   2.98,     81,     10,  318.9,  328.9,  319.4
18,  603.0 ,  4422,    4.4,   -6.6,     45,   3.89,     72,      6,  320.7,  333.7,  321.5
19,  590.0 ,  4598,    3.0,   -8.0,     44,   3.57,     65,      4,  321.1,  333.1,  321.8
20,  553.0 ,  5121,   -1.1,  -12.1,     43,   2.75,     65,      9,  322.2,  331.6,  322.8
21,  545.0 ,  5237,   -2.1,   -9.1,     59,   3.54,     65,     10,  322.4,  334.4,  323.1
22,  544.0 ,  5252,   -2.2,   -8.8,     60,   3.62,     65,     10,  322.5,  334.7,  323.2
23,  539.0 ,  5325,   -2.5,   -7.5,     69,   4.06,     69,     10,  322.9,  336.6,  323.7
24,  533.0 ,  5414,   -2.7,  -12.7,     46,   2.72,     74,     10,  323.7,  333.1,  324.2
25,  524.0 ,  5550,   -3.1,  -13.1,     46,   2.67,     81,     11,  324.8,  334.1,  325.3
26,  518.0 ,  5641,   -3.3,  -20.3,     26,   1.48,     86,     11,  325.6,  330.9,  325.9
27,  508.0 ,  5795,   -4.6,  -14.3,     47,   2.50,     95,     12,  325.9,  334.6,  326.4
28,  507.0 ,  5811,   -4.7,  -13.7,     49,   2.63,     95,     12,  325.9,  335.1,  326.5
29,  503.0 ,  5873,   -4.9,  -16.9,     38,   2.04,     95,     12,  326.4,  333.6,  326.8
30,  500.0 ,  5920,   -5.3,  -16.3,     42,   2.15,     95,     12,  326.5,  334.1,  326.9
31,  483.0 ,  6191,   -6.7,  -16.7,     45,   2.16,     92,     10,  328.0,  335.7,  328.5
32,  477.0 ,  6288,   -6.3,  -22.3,     27,   1.35,     91,     10,  329.7,  334.6,  330.0
33,  472.0 ,  6370,   -6.7,  -25.0,     22,   1.08,     90,     10,  330.1,  334.1,  330.4
34,  457.0 ,  6621,   -8.1,  -33.1,     11,   0.52,    115,     10,  331.5,  333.5,  331.6
35,  439.0 ,  6930,  -10.3,  -31.5,     16,   0.63,    145,     10,  332.5,  334.9,  332.6
36,  412.0 ,  7417,  -13.9,  -28.9,     27,   0.86,    145,     10,  334.0,  337.3,  334.2
37,  401.0 ,  7621,  -15.3,  -44.3,      6,   0.19,    145,     10,  334.8,  335.6,  334.8
38,  400.0 ,  7640,  -15.5,  -36.5,     15,   0.42,    145,     10,  334.8,  336.4,  334.8
39,  397.0 ,  7697,  -15.9,  -29.9,     29,   0.81,    144,      9,  335.0,  338.1,  335.1
40,  387.0 ,  7888,  -17.5,  -30.5,     31,   0.78,    140,      7,  335.3,  338.3,  335.5
41,  372.0 ,  8182,  -18.7,  -41.9,     11,   0.26,    135,      4,  337.5,  338.6,  337.6
42,  365.0 ,  8323,  -19.3,  -47.3,      6,   0.15,    157,      4,  338.6,  339.2,  338.6
43,  343.0 ,  8782,  -21.7,  -39.7,     18,   0.36,    230,      5,  341.4,  342.8,  341.4
44,  319.0 ,  9306,  -26.0,  -45.1,     15,   0.21,    315,      6,  342.5,  343.4,  342.6
45,  300.0 ,  9750,  -29.7,  -49.7,     13,   0.14,    300,     10,  343.4,  344.0,  343.4
46,  267.0 , 10574,  -35.5,  -60.5,      6,   0.04,    272,     11,  346.6,  346.8,  346.6
47,  260.0 , 10758,  -37.2,  -61.0,      7,   0.04,    265,     12,  346.7,  346.9,  346.7
48,  250.0 , 11030,  -39.7,  -61.7,      8,   0.04,    260,     12,  346.9,  347.1,  346.9
49,  239.0 , 11332,  -42.2,  -61.0,     11,   0.04,    255,     14,  347.6,  347.8,  347.6
50,  221.0 , 11858,  -46.7,  -59.7,     21,   0.06,    263,     16,  348.6,  348.8,  348.6
51,  207.0 , 12285,  -50.4,  -65.3,     15,   0.03,    270,     17,  349.4,  349.5,  349.4
52,  200.0 , 12510,  -52.3,  -68.3,     13,   0.02,    265,     17,  349.8,  349.9,  349.8
53,  175.0 , 13357,  -59.5,  -78.5,      7,   0.00,    258,     17,  351.5,  351.6,  351.5
54,  153.0 , 14179,  -66.8,  -76.2,     25,   0.01,    250,     16,  352.8,  352.8,  352.8
55,  150.0 , 14300,  -67.9,  -75.9,     31,   0.01,    245,     16,  352.9,  353.0,  352.9
56,  144.0 , 14544,  -70.3,  -77.3,     35,   0.01,    229,     16,  352.9,  352.9,  352.9
57,  137.0 , 14834,  -72.1,  -78.9,     36,   0.01,    210,     17,  354.7,  354.8,  354.7
58,  130.0 , 15140,  -74.1,  -80.6,     36,   0.00,    245,     17,  356.6,  356.6,  356.6
59,  123.0 , 15462,  -76.1,  -82.4,     36,   0.00,    255,     17,  358.6,  358.6,  358.6
60,  116.0 , 15803,  -78.3,  -84.3,     37,   0.00,    265,     17,  360.6,  360.7,  360.6
61,  114.0 , 15904,  -78.9,  -84.9,     37,   0.00,    288,     15,  361.3,  361.3,  361.3
62,  110.0 , 16108,  -79.0,  -85.0,     37,   0.00,    335,     10,  364.7,  364.8,  364.7
63,  103.0 , 16482,  -79.2,  -85.2,     37,   0.00,    100,     12,  371.2,  371.3,  371.2
64,  101.0 , 16593,  -79.3,  -85.3,     37,   0.00,    110,     14,  373.2,  373.2,  373.2
65,  100.0 , 16650,  -79.3,  -85.3,     37,   0.00,    115,     16,  374.3,  374.3,  374.3
66,   97.0 , 16823,  -79.5,  -85.4,     38,   0.00,    125,     17,  377.2,  377.2,  377.2
67,   92.0 , 17123,  -79.8,  -85.5,     39,   0.00,     95,     16,  382.2,  382.2,  382.2
68,   87.0 , 17441,  -80.2,  -85.6,     40,   0.00,    145,     12,  387.7,  387.7,  387.7
69,   82.0 , 17777,  -80.6,  -85.8,     42,   0.00,     70,      4,  393.5,  393.5,  393.5
70,   77.9 , 18068,  -80.9,  -85.9,     43,   0.00,     78,      4,  398.6,  398.6,  398.6
71,   77.0 , 18134,  -80.2,  -85.7,     40,   0.00,     80,      4,  401.3,  401.4,  401.3
72,   72.6 , 18470,  -76.9,  -84.9,     27,   0.00,    133,      6,  415.2,  415.2,  415.2
73,   72.0 , 18518,  -77.2,  -85.2,     27,   0.00,    140,      6,  415.6,  415.6,  415.6
74,   70.0 , 18680,  -78.1,  -86.1,     27,   0.00,    130,     12,  417.0,  417.0,  417.0
75,   68.0 , 18845,  -78.2,  -86.2,     27,   0.00,    125,     17,  420.2,  420.2,  420.2
76,   66.8 , 18946,  -78.3,  -86.3,     27,   0.00,     81,     15,  422.2,  422.2,  422.2
77,   64.0 , 19191,  -76.8,  -86.0,     22,   0.00,    335,      8,  430.6,  430.6,  430.6
78,   61.9 , 19382,  -75.7,  -85.7,     20,   0.00,    356,     12,  437.2,  437.2,  437.2
79,   60.0 , 19565,  -70.5,  -84.0,     12,   0.01,     15,     16,  452.7,  452.7,  452.7
80,   59.7 , 19594,  -69.7,  -83.7,     11,   0.01,     23,     15,  455.2,  455.2,  455.2
81,   57.3 , 19839,  -67.7,  -84.7,      7,   0.01,     87,      7,  465.1,  465.1,  465.1
82,   57.0 , 19870,  -67.6,  -84.8,      7,   0.01,     95,      6,  466.0,  466.0,  466.0
